id,feature_type,DEPOSIT_NAME,longitude,latitude,geometry_name,geometry_type,STATE,OPERATING_STATUS,COMMODITY_NAMES,ENO,SYNONYMS,LONG_GDA94,LAT_GDA94,ACCURACY_M,COMMODITY_CODES,COMPANIES,COMPANY_WEBSITES,PROVINCES,GEOLOGIC_AGE,DEPOSIT_MODEL,LINKED_FILES
MineralDeposits.333913,Feature,Lucknow,144.9555,-19.0254,DEPOSIT_LOCATION,Point,QLD,mineral deposit,"Nickel, Cobalt, Scandium",333913,,144.9555,-19.0254,100.0,"Ni, Co, Sc",Australian Mines Ltd,https://australianmines.com.au/,Thomson Orogen,Cenozoic,"Environment: Supergene, Group: Laterite, Type: Laterite nickel",N
MineralDeposits.333915,Feature,Spargoville - Location 1a,121.4917,-31.3181,DEPOSIT_LOCATION,Point,WA,historic mine,Nickel,333915,,121.4917,-31.3181,100.0,Ni,Estrella Resources,https://www.estrellaresources.com.au/,"Yilgarn Craton, Eastern Goldfields Province, Kambalda Nickel Metallogenic Province",Archean,,N
MineralDeposits.333916,Feature,Great Greta,151.4197,-32.5275,DEPOSIT_LOCATION,Point,NSW,closed,Coal - black,333916,,151.4197,-32.5275,999.0,Cbl,Yancoal Australia Limited,http://www.yancoal.com.au/,Sydney Basin,,,N
MineralDeposits.333921,Feature,Taabinga,151.822,-26.5953,DEPOSIT_LOCATION,Point,QLD,mineral deposit,Coal - black,333921,Kingaroy Project,151.822,-26.5953,500.0,Cbl,Moreton Resources Limited,http://moretonresources.com.au/,Tarong Basin,Mesozoic,,N
MineralDeposits.333922,Feature,Cameby Downs,150.2872,-26.5786,DEPOSIT_LOCATION,Point,QLD,operating mine,Coal - black,333922,"50259, 50260, 50269, ML50258",150.2872,-26.5786,999.0,Cbl,Yankuang Group Corporation Limited,,Surat Basin,Mesozoic,,N
MineralDeposits.333923,Feature,Missouri,120.9536,-30.2203,DEPOSIT_LOCATION,Point,WA,mineral deposit,Gold,333923,Siberia Project,120.9536,-30.2203,500.0,Au,Ora Banda Mining Ltd,http://www.orabandamining.com.au,"Yilgarn Craton, Eastern Goldfields Province",Archean,,N
MineralDeposits.333925,Feature,Golden Delicious,122.4593,-29.0136,DEPOSIT_LOCATION,Point,WA,mineral deposit,Gold,333925,Sunrise Dam Project,122.4593,-29.0136,500.0,Au,AngloGold Ashanti Limited,http://www.anglogold.com/default.htm,Yilgarn Craton,Archean,,N
MineralDeposits.333926,Feature,Argonaut,122.578,-31.21,DEPOSIT_LOCATION,Point,WA,mineral deposit,Gold,333926,,122.578,-31.21,50.0,Au,"Integra Mining Limited, Moto Goldmines Ltd.","http://www.integramining.com.au, http://www.motogoldmines.com",Yilgarn Craton,,,N
MineralDeposits.333927,Feature,Vickers Laterite,117.302,-27.8159,DEPOSIT_LOCATION,Point,WA,mineral deposit,Gold,333927,Dalgaranga Gold Project,117.302,-27.8159,500.0,Au,Gascoyne Resources Limited,http://www.gascoyneresources.com.au/,"Yilgarn Craton, Murchison Province",,,N
MineralDeposits.333929,Feature,Ben Hur  - King of Creation,122.3673,-28.1647,DEPOSIT_LOCATION,Point,WA,mineral deposit,Gold,333929,Brightstar Project,122.3673,-28.1647,500.0,Au,A1 Minerals Limited,http://www.a1minerals.com.au,Yilgarn Craton,Archean,,N
MineralDeposits.333930,Feature,Bugeye,116.9592,-28.9829,DEPOSIT_LOCATION,Point,WA,operating mine,Gold,333930,,116.9592,-28.9829,999.0,Au,"Warriedar Resources, Minjar Gold Pty Ltd","https://www.warriedarresources.com.au/, http://www.minjargold.com.au",Yilgarn Craton,,,N
MineralDeposits.333932,Feature,Walhalla (Carnegie),120.6502,-30.1502,DEPOSIT_LOCATION,Point,WA,operating mine,Gold,333932,Davyhurst Project,120.6502,-30.1502,500.0,Au,"Ora Banda Mining Ltd, Swan Gold Mining Limited","http://www.orabandamining.com.au, http://www.swangoldmining.com.au/",Yilgarn Craton,Archean,,N
MineralDeposits.333933,Feature,Gormandale,146.69,-38.287,DEPOSIT_LOCATION,Point,VIC,mineral deposit,Coal - brown,333933,,146.69,-38.287,999.0,Cbr,"Department of Primary Industries, Loy Yang Power","http://www.dpi.vic.gov.au, http://www.loyyangpower.com.au",Gippsland Basin,Cenozoic,,N
MineralDeposits.334055,Feature,Hellyer,145.7221,-41.5746,DEPOSIT_LOCATION,Point,TAS,feasibility,"Gold, Zinc, Lead, (Silver, Copper, Bismuth, Antimony)",334055,,145.7221,-41.5746,500.0,"Au, Zn, Pb, (Ag, Cu, Bi, Sb)",Munich Partners Ag,,"Delamerian Orogen, Dundas Trough, Mount Read Igneous Province, Rosebery Basemetal Metallogenic Province",,"Environment: Volcanic basin hydrothermal, Group: Volcanogenic massive sulfide (VMS), Type: Bimodal felsic VMS",N
MineralDeposits.334056,Feature,Stradbroke,146.84,-38.297,DEPOSIT_LOCATION,Point,VIC,mineral deposit,Coal - brown,334056,,146.84,-38.297,999.0,Cbr,Department of Primary Industries,http://www.dpi.vic.gov.au,Gippsland Basin,Cenozoic,,N
MineralDeposits.334057,Feature,Bogle South,122.4952,-28.6334,DEPOSIT_LOCATION,Point,WA,mineral deposit,Gold,334057,Barnicoat Project,122.4952,-28.6334,500.0,Au,Focus Minerals Limited,http://www.focusminerals.com.au/,"Yilgarn Craton, Eastern Goldfields Province",Archean,,N
MineralDeposits.334058,Feature,Leinster,120.6972,-27.7889,DEPOSIT_LOCATION,Point,WA,care and maintenance,"Nickel, (Copper, Cobalt)",334058,"Agnew, Leinster, Perseverance, Rocky's Reward",120.6972,-27.7889,100.0,"Ni, (Cu, Co)",BHP Group Limited,https://www.bhp.com/,"Yilgarn Craton, Eastern Goldfields Province, Mount Keith Nickel Metallogenic Province, Norseman-Wiluna Belt",Archean,"Environment: Magmatic, Group: Komatiite, Type: Komatiite nickel-copper-PGE",N
MineralDeposits.334062,Feature,"Eucla Basin (Jacinth Ambrosia, Atacama, Typhoon, Sonoran, Tripitaka)",132.2203,-30.9076,DEPOSIT_LOCATION,Point,SA,operating mine,"Zircon, Ilmenite, (Rutile, Titanium)",334062,"Ambrosia, Jacinth",132.2203,-30.9076,200.0,"Zrn, Ilm, (Rt, Ti)",Iluka Resources Limited,http://www.iluka.com,,,"Environment: Erosional, Group: Placer, Type: Heavy mineral sands",N
MineralDeposits.334063,Feature,Camel 2,118.1474,-20.8998,DEPOSIT_LOCATION,Point,WA,mineral deposit,Gold,334063,,118.1474,-20.8998,999.0,Au,De Grey Mining Limited,http://www.degreymining.com.au/,Pilbara Craton,Archean,,N
