node_type,node_id,x,y
Company,comp_6211,20.702219,-12.339608
Company,comp_6224,38.050537,-30.946548
Company,comp_6230,11.297999,-24.85675
Company,comp_6236,12.68603,-18.788559
Company,comp_6238,7.659013,14.477328
Company,comp_6241,21.055574,-10.422593
Company,comp_6242,-14.204306,-8.696355
Company,comp_6243,19.001158,-25.796875
Company,comp_6247,-27.595776,-16.14418
Company,comp_6255,22.47004,-10.103615
Company,comp_6258,4.965215,-12.270865
Company,comp_6259,10.133262,-16.635221
Company,comp_6263,6.591785,-1.209025
Company,comp_6265,28.837137,18.501019
Company,comp_6269,33.86236,-25.354351
Company,comp_6272,31.23484,22.61065
Company,comp_6273,15.513495,11.644655
Company,comp_6277,61.176254,-0.99006945
Company,comp_6280,0.39142784,5.265576
Company,comp_6416,8.176487,-25.741755
Company,comp_6422,5.320507,-26.932991
Company,comp_6445,-27.096767,-6.357632
Company,comp_6452,6.1195574,-24.990269
Company,comp_6498,23.06357,-3.7544637
Company,comp_6505,17.050234,15.462404
Company,comp_6524,10.999401,-24.844965
Company,comp_6525,32.911636,-25.951797
Company,comp_6529,20.449123,-49.160923
Company,comp_6538,21.700573,-10.909403
Company,comp_6541,10.08852,-21.146427
Company,comp_6557,12.533713,-18.748987
Company,comp_6573,8.459853,-26.899899
Company,comp_6594,10.558183,-23.935389
Company,comp_6615,-19.848724,-4.8944144
Company,comp_6663,9.55917,0.59945244
Company,comp_6679,16.373362,10.638601
Company,comp_6701,-9.385666,49.736378
Company,comp_6717,15.929816,-21.871616
Company,comp_6735,17.682943,8.45163
Company,comp_6766,1.1522886,-22.777843
Company,comp_6813,-48.381386,17.013645
Company,comp_7509,16.27521,13.993199
Company,comp_8201,33.25716,-11.943293
Company,comp_8202,0.74967927,-21.978956
Company,comp_8206,11.977255,13.198357
Company,comp_8208,11.922555,-16.22719
Company,comp_8239,33.574303,-11.961233
Company,comp_8347,27.381716,26.41039
Company,comp_8746,2.676913,-20.043211
Company,comp_8782,33.79504,-25.657406
Company,comp_10317,-12.37387,30.42015
Company,comp_10325,-4.4762163,46.029064
Company,comp_10334,46.694607,15.521201
Company,comp_10353,-0.61556643,14.55366
Company,comp_10382,40.98951,16.701527
Company,comp_10394,28.295092,3.7702076
Company,comp_10432,-48.064434,17.76982
Company,comp_10458,62.7357,4.545762
Company,comp_10463,-26.869125,18.662
Company,comp_10805,-10.579621,19.74524
Company,comp_11588,-5.1803985,-21.241781
Company,comp_11617,62.784428,8.987005
Company,comp_12188,-1.5109992,-9.612156
Company,comp_12244,20.68213,-5.144598
Company,comp_12253,30.449062,17.58019
Company,comp_13655,-6.377925,33.499226
Company,comp_13880,4.9196396,-1.5426574
Company,comp_16246,-5.538684,8.360194
Company,comp_17117,5.6750946,-19.028513
Company,comp_17118,5.522417,-20.085102
Company,comp_17264,10.574524,48.29291
Company,comp_17308,22.101374,-10.491544
Company,comp_17315,34.68218,-3.320172
Company,comp_17344,20.560602,44.07925
Company,comp_17397,6.1584926,-25.145971
Company,comp_17433,5.9286766,-19.127443
Company,comp_17486,7.701343,-21.066645
Company,comp_17496,-8.285006,-29.47412
Company,comp_17573,5.75118,-25.6786
Company,comp_17612,3.6202557,-33.965897
Company,comp_17626,8.927678,-23.685068
Company,comp_17636,9.788013,-20.896881
Company,comp_17683,-27.152306,-10.444295
Company,comp_17716,6.1102343,-28.079523
Company,comp_17717,7.3868265,-23.236696
Company,comp_17849,12.908749,14.894987
Company,comp_17882,9.435483,-20.231789
Company,comp_17938,-6.931196,28.776566
Company,comp_17960,23.189161,-8.860143
Company,comp_18029,11.83508,-3.3072133
Company,comp_18064,7.369045,-23.200632
Company,comp_18111,30.329342,22.414942
Company,comp_18153,-16.018639,-20.711843
Company,comp_18157,39.596996,-24.763521
Company,comp_18163,-47.262833,6.484386
Company,comp_18177,7.8547945,-25.713272
Company,comp_18318,21.91281,-9.492464
Company,comp_18330,2.4180868,-23.841211
Company,comp_18360,10.6148815,34.412495
Company,comp_18366,-12.182572,12.838585
Company,comp_18395,-29.232292,12.713111
Company,comp_18455,16.5179,-16.268297
Company,comp_18657,15.347302,10.950793
Company,comp_18675,7.9138684,-20.9886
Company,comp_18922,9.308903,-16.320126
Company,comp_18946,-15.922313,-19.902424
Company,comp_18963,9.568646,25.872208
Company,comp_19008,4.7648406,-12.79768
Company,comp_19059,8.653656,-28.999031
Company,comp_19060,12.480483,-28.480947
Company,comp_19098,-15.362566,-20.77671
Company,comp_19131,4.9549584,-16.981855
Company,comp_19212,-27.708246,-16.095188
Company,comp_19280,-27.295494,-9.861832
Company,comp_19340,6.2767315,-29.200563
Company,comp_19349,14.326176,-7.015114
Company,comp_19479,-40.15776,12.487554
Company,comp_19566,36.307888,21.690386
Company,comp_19644,3.1485858,-21.988132
Company,comp_19724,14.65471,-17.57397
Company,comp_19750,0.76136625,-25.70568
Company,comp_19804,45.70285,-24.505365
Company,comp_19811,4.2190166,23.201702
Company,comp_19856,46.614513,13.359159
Company,comp_19879,12.515583,-21.564
Company,comp_19882,-17.940138,-20.01176
Company,comp_19899,4.3740616,-18.098276
Company,comp_19976,25.065767,-2.953155
Company,comp_20007,64.39097,6.184718
Company,comp_20009,6.7049255,-25.136461
Company,comp_20074,11.179594,-24.751562
Company,comp_20095,18.916052,12.238447
Company,comp_20140,46.500908,13.331834
