Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
0330585Q GR Equity,BAR.BRA MINING G,CH,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,--,--
0329521D SJ Equity,SOUTHGOLD EXPLOR,ZA,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0127870Z CN Equity,ECI EXPLORATION,CA,Common Stock,--,--,13.22M,--,--,--,--,--,Metals & Mining,Precious Metals,--,--
0497996D AU Equity,NEWMONT AUSTRALI,AU,Private Comp,--,--,--,2k,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0322045D SJ Equity,ERGO MINING OPER,ZA,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0129221Q CN Equity,STACCATO GOLD RE,CA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
3441834Q AU Equity,PANORAMA RES,AU,Common Stock,--,--,29.70M,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
3447763Z GU Equity,TORO GOLD LTD,GG,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0131375D AU Equity,PENINSULA RESOUR,AU,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0292256D CN Equity,CORDILLERA GOLD,CA,Common Stock,--,--,2.53M,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
NQMG US Equity,NEW QUINCY MNG,US,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Silver,--
0289576D PE Equity,CIA MINERA ARES,PE,Private Comp,--,--,--,2k,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
3449945Q LN Equity,WINKELHAAK MINES,ZA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
3435062Q CN Equity,AUREA MINING INC,CA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0353492D CN Equity,AFRICAN AURA RES,ZA,Common Stock,--,--,--,--,Industrial Metals and Mining,General Mining,--,--,Metals & Mining,Precious Metals,--,--
3469653Q CN Equity,MIRANDA MINING C,MX,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0739635D CN Equity,BRUCEJACK GOLD D,CA,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0739632D AU Equity,BOWDENS (MUDGEE),AU,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Silver,--
0739631D MM Equity,SAN MARCIAL SILV,CA,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Silver,--
ZORM US Equity,ZORO MINING CORP,US,Common Stock,--,--,--,--,Investment Banking and Brokerage Services,Diversified Financial Services,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
0739628D CN Equity,SNOWFIELD GOLD D,CA,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0175973D US Equity,DESERT HAWK GOLD,US,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0739580D AY Equity,KAPAN COPPER MIN,AM,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0739577D BU Equity,KRUMOVGRAD GOLD,BG,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,--,--
3527430Q CN Equity,PRIME RES GRP,CA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0739563D CN Equity,RED CHRIS GOLD M,CA,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0739523D IJ Equity,MARTABE GOLD DEP,ID,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
2558579D CN Equity,AUREUM EXPLORATI,CA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
PC2 AU Equity,PC GOLD LTD,AU,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
LYD SJ Equity,LYDENBURG PLATIN,ZA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,--,--
0129108D US Equity,HECLA GREENS CRE,US,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,--,--
0483425D MM Equity,MINERA SANTA RIT,MX,Private Comp,--,--,--,300,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0077840D CN Equity,PATRICIA MINING,CA,Common Stock,--,--,--,--,Precious Metals and Mining,Gold Mining,--,--,Metals & Mining,Precious Metals,Gold,--
0465879D AU Equity,STAWELL GOLD MIN,AU,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0077975Q CN Equity,GARSON GOLD CORP,CA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0108627Q AU Equity,TARGET RES AUST,AU,Common Stock,--,--,5.90M,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
ZYQG US Equity,ZYQC GROUP HOLDI,US,Common Stock,--,--,--,--,Investment Banking and Brokerage Services,Diversified Financial Services,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
LVR AU Equity,LEVIATHAN RESOUR,AU,Common Stock,--,--,--,600,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0399745Z AU Equity,NEWCREST FINANCE,AU,Private Comp,--,--,--,8k,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
039530 KS Equity,CNK INTERNATIONA,KR,Common Stock,--,--,--,--,Food Producers,Food Products,Metals & Mining,Precious Metals & Minerals,Metals & Mining,Precious Metals,--,--
PARC CN Equity,PAN AFRICAN RES,US,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0694554D SJ Equity,HARMONY 2 SHAFT,ZA,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
ZNXT US Equity,ZNEXT MINING COR,PH,Common Stock,--,--,--,--,Industrial Metals and Mining,General Mining,Metals & Mining,Precious Metals & Minerals,Metals & Mining,Precious Metals,--,--
0364897D AU Equity,ANGLOGOLD ASHANT,AU,Private Comp,--,--,--,4,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
3534194Z CN Equity,MINERA MEDIA LUN,MX,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
LNZL RM Equity,LENZOLOTO,RU,Common Stock,--,--,7.49M,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
0364025D AU Equity,BARRICK PD AUSTR,AU,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0364006Z US Equity,CHARGER MINERALS,US,Common Stock,--,--,19.13k,--,--,--,--,--,Metals & Mining,Precious Metals,--,--
0123208D CN Equity,CLEAR CREEK RESO,CA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
3416702Z BH Equity,CONTINENTAL GOLD,CA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0278326D AU Equity,NORTHERN STAR KL,AU,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,--,--
0124660D US Equity,REVETT SILVER CO,US,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,--,--
0338963D HK Equity,GOLD MOUNTAINS H,HK,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,--,--
0332665Q AU Equity,SOLOMON PAC RES,AU,Common Stock,--,--,21.75M,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0739840D CN Equity,MACASSA GOLD MIN,CA,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
