Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
ND IN Equity,ND METAL INDS,IN,Common Stock,3.67M,9.18k,2.04M,--,Investment Banking and Brokerage Services,Diversified Financial Services,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Iron,Iron Ore Mining,--
DCOP CN Equity,DISTRICT COPPER,CA,Common Stock,3.57M,0,1.28M,--,Industrial Metals and Mining,General Mining,--,--,Metals & Mining,Mineral & Precious Stone Mining,--,--
704 HK Equity,HUSCOKE HOLDINGS,HK,Common Stock,3.51M,6.74M,372.94M,--,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Mining Services,Coal Support Services,--
HM CN Equity,HM EXPLORATION C,CA,Common Stock,3.50M,--,530.85k,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
ORCL CN Equity,ORACLE COMMODITY,CA,Common Stock,3.43M,0,1.57M,--,--,--,--,--,Metals & Mining,Mining Services,--,--
ARMY CN Equity,ARMORY MINING CO,CA,Common Stock,3.36M,0,5.33M,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,--,--
GAMA CN Equity,GAMMA RESOURCES,CA,Common Stock,3.35M,0,513.68k,--,Industrial Metals and Mining,General Mining,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Rare Earth
NCLR CN Equity,BASIN URANIUM CO,CA,Common Stock,3.34M,0,2.91M,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
MYR CN Equity,MERYLLION RESOUR,CA,Common Stock,3.32M,0,352.77k,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,--,--
QURI CN Equity,QURI-MAYU DEVELO,CA,Common Stock,3.32M,--,1.12M,--,Industrial Metals and Mining,General Mining,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
LIVE CN Equity,LIVE ENERGY MINE,CA,Common Stock,3.31M,0,1.06M,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Lithium
HZ CN Equity,HERTZ ENERGY INC,CA,Common Stock,3.27M,0,9.28M,--,Industrial Metals and Mining,General Mining,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Lithium
STMN CN Equity,STEARMAN RESOURC,CA,Common Stock,3.26M,0,325.92k,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
SHOW CN Equity,SHOWCASE MINERAL,CA,Common Stock,3.25M,0,237.88k,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
PERU CN Equity,CHAKANA COPPER C,CA,Common Stock,3.23M,0,11.95M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,--,--
ADISHAKT IN Equity,ADISHAKTI LOHA A,IN,Common Stock,3.22M,1.11M,3.70M,6,--,--,Trading Companies & Distributors,Trading Companies & Distributors,Metals & Mining,Metals & Ore Whslrs & Traders,--,--
EPR CN Equity,E-POWER RESOURCE,CA,Common Stock,3.21M,0,1.63M,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
RKL CN Equity,ROCKLAND RESOURC,CA,Common Stock,3.19M,0,3.19M,--,Precious Metals and Mining,Gold Mining,--,--,Metals & Mining,Mineral & Precious Stone Mining,--,--
PWH CN Equity,PUREWAVE HYDROGE,CA,Common Stock,3.14M,0,1.90M,--,--,--,--,--,Metals & Mining,Mining Services,--,--
ZCC/H CN Equity,ZENA MINING CORP,CA,Common Stock,3.14M,0,1.54M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,--,--
FUST US Equity,FUSE GROUP HOLDI,US,Common Stock,3.10M,503.71k,123.04k,--,Industrial Metals and Mining,General Mining,Professional Services,Research & Consulting Services,Metals & Mining,Mining Services,--,--
RYO CN Equity,RIO SILVER INC,CA,Common Stock,3.08M,0,385.46k,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mining Services,--,--
AGT CN Equity,APPLIED GRAPHITE,CA,Common Stock,3.07M,0,2.67M,--,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
CAT CN Equity,CAT STRATEGIC ME,CA,Common Stock,3.06M,0,31.70k,--,--,--,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,--,--
KTRI CN Equity,KOOTENAY RESOURC,CA,Common Stock,3.04M,--,5.24M,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,--,--
ACM AU Equity,AUSTRALIAN CRITI,AU,Common Stock,3.04M,40.95k,3.05M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
NEW/H CN Equity,NEW TARGET MININ,CA,Common Stock,3.02M,0,51.07k,--,Industrial Metals and Mining,General Mining,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
MNG CN Equity,MONGOOSE MINING,CA,Common Stock,3.01M,--,1.95M,--,--,--,--,--,Metals & Mining,Mining Services,--,--
MINE CN Equity,INOMIN MINES INC,CA,Common Stock,2.97M,0,1.51M,--,Investment Banking and Brokerage Services,Diversified Financial Services,--,--,Metals & Mining,Mineral & Precious Stone Mining,--,--
MOLT CN Equity,MOLTEN METALS CO,CA,Common Stock,2.96M,--,244.30k,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
VLX CN Equity,VELOX ENERGY MAT,CA,Common Stock,2.95M,0,4.56M,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
SI CN Equity,SILICON METALS C,CA,Common Stock,2.91M,0,1.30M,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,--,--
AMLM US Equity,AMERICAN LITHIUM,US,Common Stock,2.86M,--,--,--,Investment Banking and Brokerage Services,Diversified Financial Services,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Lithium
SMRV CN Equity,SMOOTH ROCK VENT,CA,Common Stock,2.85M,0,1.58M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mining Services,--,--
BYRG CN Equity,BAYRIDGE RESOURC,CA,Common Stock,2.83M,0,4.41M,--,--,--,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
