ENO,DEPOSIT_NAME,SYNONYMS,STATE,LONG_GDA94,LAT_GDA94,OPERATING_STATUS,COMMODITY_PRIMARY,COMMODITY_SECONDARY,COMMODITY_NAMES,COMPANIES,GEOLOGIC_AGE,DEPOSIT_MODEL_ENVIRONMENT,DEPOSIT_MODEL_GROUP,DEPOSIT_MODEL_TYPE,PROVINCES,IGNEOUS,METALLOGENIC,SEDIMENTARY,TECTONIC
568998,Lochinvar (Cockatoo Coal),,QLD,149.7167,-24.0167,mineral deposit,Cbl,,Coal - black,"Bunji Corporation Ltd, Baralaba Coal Company Limited",,,,,Bowen Basin,,,Bowen Basin,"Anakie Province,Tasman Element,Thomson Orogen"
569027,Bushranger (Coal),,QLD,150.2457,-26.2727,mineral deposit,Cbl,,Coal - black,"Bunji Corporation Ltd, Baralaba Coal Company Limited",,,,,Surat Basin,,,Surat Basin,"Connors-Auburn Province,New England Orogen,Tasman Element"
569030,Amberley ,,QLD,152.7083,-27.7,mineral deposit,Cbl,,Coal - black,Wintime Energy Co. Ltd,,,,,Clarence-Moreton Basin,,,Clarence-Moreton Basin,"New England Orogen,Tasman Element,Wandilla Province"
569086,Golden Kilometre,Mount Pleasant Project,WA,121.235,-30.5193,historic mine,Au,,Gold,"Zijin Mining Group Company Ltd, Norton Gold Fields Limited",Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
569089,Extension Hill Magnetite (Asia Iron Australia Ltd),,WA,117.1614,-29.5772,mineral deposit,Fe,FeOre,"Iron, (Iron ore)",Asia Iron Australia Limited,Archean,,,,Yilgarn Craton,,,,"West Australian Element,Yilgarn Craton"
569095,Belview,,QLD,149.0,-23.6833,mineral deposit,Cbl,,Coal - black,Stanmore Coal Limited,,,,,Bowen Basin,,,Bowen Basin,"Anakie Province,Tasman Element,Thomson Orogen"
569109,Tennyson,,QLD,148.1,-23.4833,mineral deposit,Cbl,,Coal - black,Stanmore Coal Limited,,,,,Bowen Basin,,,Bowen Basin,"Anakie Province,Tasman Element,Thomson Orogen"
569136,Maryborough Basin T9 West,,QLD,152.45,-25.85,mineral deposit,Cbl,,Coal - black,Tiaro Coal Limited,,,,,Maryborough Basin,,,Nambour Basin,"Gympie Province,New England Orogen,Tasman Element"
569149,Nannine Project,,WA,118.3464,-26.8848,historic mine,Au,,Gold,Westgold Resources Limited,Archean,,,,Yilgarn Craton,Warakurna Large Igneous Province,,,"West Australian Element,Yilgarn Craton"
569152,Five Mile Well,Meekatharra North Project,WA,118.5409,-26.5293,historic mine,Au,,Gold,"Metals X Limited, Reed Resources Limited, Westgold Resources Limited",Archean,,,,Yilgarn Craton,Warakurna Large Igneous Province,,,"West Australian Element,Yilgarn Craton"
569161,Davyhurst Mill,Davyhurst Project,WA,120.6706,-30.0362,historic mine,Au,,Gold,"Ora Banda Mining Ltd, Swan Gold Mining Limited",,,,,Yilgarn Craton,,,,"West Australian Element,Yilgarn Craton"
569163,Riverina Project,Riverina Project,WA,120.5652,-29.7519,historic mine,Au,,Gold,Ora Banda Mining Ltd,Archean,,,,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
569165,Silver Tongue,Riverina Project,WA,120.577,-29.7427,mineral deposit,Au,,Gold,Ora Banda Mining Ltd,Archean,,,,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
569167,Forehand,Riverina Project,WA,120.5745,-29.7505,mineral deposit,Au,,Gold,Ora Banda Mining Ltd,Archean,,,,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
569169,Makai Shoot,Davyhurst Project,WA,120.6632,-30.0291,historic mine,Au,,Gold,"Ora Banda Mining Ltd, Swan Gold Mining Limited",Archean,,,,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
569171,Mount Banjo,Davyhurst Project,WA,120.6509,-30.1567,mineral deposit,Au,,Gold,"Ora Banda Mining Ltd, Swan Gold Mining Limited",Archean,,,,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
569181,Hickman (Atlas Iron),"Hickman, McCamey's North, Warrawanda, Western Creek",WA,120.0393,-23.7068,mineral deposit,"FeOre, Fe",,"Iron ore, Iron",Atlas Iron Ltd,,,,,Pilbara Craton,Warakurna Large Igneous Province,,,"Pilbara Craton,Sylvania Dome,West Australian Element"
569183,Galaxy - Wiluna,Matilda Gold Project,WA,120.2011,-26.5195,mineral deposit,Au,,Gold,Blackham Resources Limited,Archean,,,,Yilgarn Craton,Warakurna Large Igneous Province,Mount Keith Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
569187,Baldric,Wiluna Project,WA,120.2436,-26.6199,mineral deposit,Au,,Gold,Apex Minerals NL,Archean,,,,Yilgarn Craton,,Mount Keith Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
569194,Burgandy - Calais,Wiluna Project,WA,120.2421,-26.6235,mineral deposit,Au,,Gold,"Apex Minerals NL, Blackham Resources Limited",Archean,,,,Yilgarn Craton,,Mount Keith Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
569199,East Lode,Wiluna Project,WA,120.2397,-26.6337,mineral deposit,Au,,Gold,"Apex Minerals NL, Blackham Resources Limited",Archean,,,,Yilgarn Craton,,Mount Keith Nickel Metallogenic Province,Carey Paleovalley,"West Australian Element,Yilgarn Craton"
