Company_neo4j_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
comp_162,0.21454453,-0.30695653,-0.75831765,-0.25001678,0.18414187,-0.058421604,-0.18699557,-0.53051937,-0.6503829,0.09376589,0.005787246,-0.115995094,-0.86715215,-0.05432739,0.7027332,0.15538807
comp_167,0.0027016373,0.63925236,-0.016088296,-0.3121952,0.093935356,-0.55028224,-0.06059608,-0.08082479,0.6080732,-0.050680034,0.7130084,0.022691637,-0.47095063,-0.5067906,0.83876497,-0.010350351
comp_169,0.2508929,0.3133534,-0.19755146,-0.26625985,0.18811424,0.21662413,0.2491625,-0.45046037,-0.2059695,-0.73097396,-0.05517037,-0.027492937,-0.35514924,0.077432685,-0.22019303,-0.45461506
comp_171,-0.6262515,-0.025217379,-0.70780116,-0.3936173,-0.102757625,-0.37930417,0.72185683,0.65035325,-0.5564747,-0.39078426,0.075767614,-0.70870507,-0.9730481,0.019174326,0.1865979,-0.77493346
comp_173,-0.051981125,0.012489391,1.0618161,-0.65176576,-0.48060694,0.62871873,0.19299038,0.18321458,-0.11732718,-0.45982468,0.63020045,-0.20485212,0.18231386,-0.21544369,0.45808053,-0.92807037
comp_175,-0.72031057,-1.1867623,0.8266141,-0.001116679,-0.9387344,0.22036944,0.610627,-1.5960451,0.25029972,0.37674075,-0.7207566,-0.70143723,-0.30666208,-0.6438769,-0.24327452,0.11015786
comp_177,0.010163681,-0.2697034,1.2179185,0.023583693,0.3479892,-0.57258767,0.08648218,0.14198627,-0.09453197,-0.39124566,-0.47524425,-0.10365006,-0.1368265,-0.31663117,-0.39063725,-0.38717335
comp_179,-0.16798133,-0.3283654,0.14038607,0.03633523,-0.64344656,-0.1736719,0.919363,0.12168951,0.1515279,-0.2997278,0.23700832,-0.16902585,-0.26458162,-0.13479565,0.100456595,-0.32308534
comp_180,0.9970156,-0.7104443,-0.46756175,-0.2785303,0.66952896,-0.89888394,-0.8219452,0.3388745,-0.61697257,-0.14230779,0.32451746,0.93559194,0.27558118,-0.17676108,-0.52094233,0.24140608
comp_183,-0.4417726,-0.013862306,-0.10637092,0.681443,-0.35620928,-0.21784467,-0.3831536,0.44188732,-0.5504229,-0.3923493,0.4888181,0.3720912,-0.21936797,-0.4705747,0.18932256,0.3588594
comp_184,0.24646513,0.057351913,0.07645402,-0.7661727,0.03337202,-0.06742798,-0.16064548,-0.34280896,0.23792934,-0.39439636,0.02999457,-0.37730768,0.3099943,-0.3971709,0.34734216,-0.8066579
comp_194,0.20927265,-0.37869102,-0.60782117,-0.35934794,-1.1062737,0.36329764,-0.4439243,0.76115763,-0.20228444,0.5375262,-0.45645288,0.49327317,-0.16840771,0.09261706,-0.56256926,0.037813142
comp_197,-0.16216148,0.83809954,-0.16972174,-1.1160263,0.16567932,-0.43259317,-0.40307218,0.14938083,-0.7838868,-0.18737067,0.10594188,0.3590859,0.07387591,0.056628883,0.14264826,0.076487884
comp_198,0.5991723,-0.12264719,0.27392167,-0.19782947,0.06300939,0.464126,0.54330385,-0.36136538,-0.2712069,-0.3764756,0.4027749,-0.63712543,1.2960407,-0.8469762,-0.47113824,-0.009246176
comp_203,-0.1059139,-0.5608433,-0.42553866,-0.22968723,-0.26262337,0.0132597955,-0.49615198,-0.5230591,0.15020986,-0.37622806,0.47192556,0.3973649,-0.5822335,1.2040195,-0.10435311,0.22521752
comp_204,-0.48953775,-0.69780695,1.0376862,0.4402622,-0.24556953,-0.15968966,-0.005994931,-0.5279747,-0.10878121,-0.5477938,0.10214791,0.5645498,0.112574525,-0.6138988,0.02075912,0.5858782
comp_206,-0.1574063,0.5671197,0.38747293,-0.1805769,0.6275381,0.5712035,0.8981156,-0.25294155,-0.0328947,0.2858995,0.61830837,-0.10715611,0.3315269,-0.64902496,-0.50148743,0.018526768
comp_209,0.6999881,0.39916357,-0.2810331,-0.30334392,-0.54380214,0.016558299,-0.2278257,-0.3635776,-0.46611372,0.08504829,0.21313821,-0.010462312,-0.393097,0.051950395,0.25604922,0.283611
