companyID,Ticker,Company Name,SYNONYMS,ACN,Country of Domicile,Company Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees:LF,ICB Sector,ICB Subsector,GICS Industry,GICS SubIndustry,BICS L3 Industry,BICS L4 Sub Industry,BICS L5 Segment,BICS L6 Segment,Company Description,Linkedin_empCount,Linkedin_Followers,Source
comp_5192,ALAMG FP Equity,Auplata Mining Group,,,French Guiana,Common Stock,15070000.0,141080000.0,510670000.0,746.0,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Base Metals,,,,,,Bloomberg
comp_5193,TNI VN Equity,Thanh Nam Group JSC,,,Viet Nam,Common Stock,14990000.0,60100000.0,59040000.0,,Industrial Metals and Mining,Iron and Steel,Trading Companies & Distributors,Trading Companies & Distributors,Steel,Steel Producers,,,,,,Bloomberg
comp_5194,NTBK IJ Equity,Nusatama Berkah Tbk PT,,,Indonesia,Common Stock,14990000.0,10090000.0,16760000.000000002,32.0,Industrial Transportation,Commercial Vehicles and Parts,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Mining Machinery & Equipment,,,,,Bloomberg
comp_5195,1343 HK Equity,Wei Yuan Holdings Ltd,,,Singapore,Common Stock,14940000.0,110070000.0,123380000.0,672.0,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,,,,,,Bloomberg
comp_5196,IEEC EY Equity,Industrial & Engineering Projects,,,Egypt,Common Stock,14830000.0,9060000.0,28280000.0,,Construction and Materials,Construction,,,Engineering & Construction,Infrastructure Construction,,,,,,Bloomberg
comp_5197,SD5 VN Equity,Song Da No 5 JSC,,,Viet Nam,Common Stock,14790000.0,141490000.0,101300000.0,920.0,Construction and Materials,Construction,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,,,,,,Bloomberg
comp_5198,BAN MO Equity,Baganuur Jsc,,,Mongolia,Common Stock,14790000.0,66959999.99999999,115150000.0,,,,,,Metals & Mining,Coal Mining,,,,,,Bloomberg
comp_5199,SC MK Equity,SC Estate Builder Bhd,,,Malaysia,Common Stock,14750000.0,661160.0,13570000.0,,Household Goods and Home Construction,Home Construction,Construction & Engineering,Construction & Engineering,Machinery,Construction & Mining Machinery,Construction Machinery,,,,,Bloomberg
comp_5200,TTS VN Equity,Thai Trung Rooling JSC,,,Viet Nam,Common Stock,14600000.0,323170000.0,81750000.0,249.0,,,,,Steel,Steel Producers,,,,,,Bloomberg
comp_5201,OSI SP Equity,Ocean Sky International Ltd,,,Singapore,Common Stock,14580000.0,34420000.0,79390000.0,,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,,,,,,Bloomberg
comp_5202,8039 HK Equity,China Come Ride New Energy Group Ltd,,,Hong Kong,Common Stock,14520000.0,5960000.0,4160000.0,20.0,Construction and Materials,Construction,Professional Services,Research & Consulting Services,Engineering & Construction,Engineering Services,Architectural Services,,,,,Bloomberg
comp_5203,MPITR GA Equity,Bitros SA,,,Greece,Common Stock,14450000.0,9880000.0,113690000.0,23.0,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,,,,,,Bloomberg
comp_5204,PTC VN Equity,ICapital Investment JSC,,,Viet Nam,Common Stock,14430000.0,2360.0,25710000.0,6.0,Construction and Materials,Construction,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,,,,,,Bloomberg
comp_5205,VCC VN Equity,Vinaconex 25 JSC,,,Viet Nam,Common Stock,14340000.0,63990000.0,78190000.0,533.0,Construction and Materials,Construction,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,,,,,,Bloomberg
comp_5206,UNFCRA BK Equity,Unis-Fabrika Cijevi AD Derventa,,,Bosnia and Herzegovina,Common Stock,14260000.0,76140000.0,238290000.0,513.0,,,,,Steel,Steel Producers,,,,,,Bloomberg
comp_5207,T PM Equity,TKC Metals Corp,,,Philippines,Common Stock,14160000.0,,96100000.0,,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,,,,,,Bloomberg
comp_5208,TCJ TB Equity,TCJ Asia PCL,,,Thailand,Common Stock,14110000.0,59560000.0,120080000.0,,Industrial Metals and Mining,Iron and Steel,Trading Companies & Distributors,Trading Companies & Distributors,Steel,Steel Producers,,,,,,Bloomberg
comp_5209,SOMR RO Equity,Sometra SA,,,Romania,Common Stock,14040000.0,215950.0,15170000.0,6.0,,,,,Metals & Mining,Base Metals,"Nickel, Lead & Zinc",,,,,Bloomberg
comp_5210,SIDG RO Equity,Arcelormittal Hunedoara SA,,,Romania,Common Stock,13980000.0,168680000.0,206760000.0,,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,Flat Rolled,,,,,Bloomberg
comp_5211,VINVEST MK Equity,Vinvest Capital Holdings Bhd,,,Malaysia,Common Stock,13970000.0,10840000.0,178200000.0,,Real Estate Investment and Services,Real Estate Holding and Development,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,Communication Infra Const,Comm & Transmission Const,,,,Bloomberg
comp_5212,BSLC MK Equity,BSL Corp Bhd,,,Malaysia,Common Stock,13940000.0,34210000.0,82560000.0,,Industrial Metals and Mining,Metal Fabricating,Metals & Mining,Diversified Metals & Mining,Industrial Intermediate Prod,Fabricated Metal & Hardware,Fabricated Metal,Forging & Stamping,,,,Bloomberg
comp_5213,3789 HK Equity,Royal Deluxe Holdings Ltd,,,Hong Kong,Common Stock,13810000.0,143920000.0,96220000.0,89.0,Construction and Materials,Construction,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,,,,,,Bloomberg
comp_5214,1722 HK Equity,Kin Pang Holdings Ltd,,,Hong Kong,Common Stock,13730000.0,127420000.0,89520000.0,294.0,Construction and Materials,Construction,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,Construction Engineering Svcs,,,,,Bloomberg
comp_5215,INGENIEU MK Equity,Ingenieur Gudang Bhd,,,Malaysia,Common Stock,13660000.0,16260000.000000002,88030000.0,,Construction and Materials,Construction,Construction & Engineering,Construction & Engineering,Steel,Steel Producers,,,,,,Bloomberg
comp_5216,L10 VN Equity,LILAMA 10 JSC,,,Viet Nam,Common Stock,13620000.0,64970000.0,87520000.0,,Construction and Materials,Construction,Construction & Engineering,Construction & Engineering,Machinery,Construction & Mining Machinery,Construction Machinery,,,,,Bloomberg
comp_5217,8320 HK Equity,Allied Sustainability And Environmental Consultants Group Ltd,,,Hong Kong,Common Stock,13580000.0,9370000.0,20110000.0,,Industrial Support Services,Professional Business Support Services,Commercial Services & Supplies,Environmental & Facilities Services,Engineering & Construction,Engineering Services,Environmental Engineering Svcs,,,,,Bloomberg
comp_5218,SK TB Equity,Sirakorn PCL,,,Thailand,Common Stock,13580000.0,23280000.0,25440000.0,,,,Construction Materials,Construction Materials,Engineering & Construction,Infrastructure Construction,Utility Line Construction,Electric Utility Line Const,,,,Bloomberg
comp_5219,AICL BD Equity,Appollo Ispat Complex Ltd,,,Bangladesh,Common Stock,13520000.0,60340000.0,209820000.0,,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Industrial Intermediate Prod,Fabricated Metal & Hardware,Fabricated Metal,Sheet Metal,,,,Bloomberg
comp_5220,TGPRO TB Equity,Thai-German Products Public Co Ltd,,,Thailand,Common Stock,13510000.0,63100000.0,127370000.0,,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Machinery,Other Machinery & Equipment,Food Product Machinery,,,,,Bloomberg
comp_5221,BAC PW Equity,B-Act SA,,,Poland,Common Stock,13510000.0,10720000.0,5590000.0,29.0,,,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,,,,,,Bloomberg
comp_5222,1594 TT Equity,Ju-Kao Engineering Co Ltd,,,"Taiwan, Province of China",Common Stock,13490000.0,20480000.0,32390000.0,,,,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,,,,,,Bloomberg
