Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total number of WA Staff (including long term contractors),Number of truck drivers employed in WA,Total number of National Staff (including long term contractors),Number of trucks e.g asset base/fleet/number of pieces of equipment,Tonnes moved (annually),Number of branches/depots in WA,Branch Locations (suburb/town only),Footprint (in sqm),Number of Branches/Depots Interstate,Core Services: Regions Covered,Core Services: Industries Covered,Notable clients,WA Revenue most recent financial year,Is the organisation headquartered in WA?,Ultimate holding company
Odyssey Group,38,,Wesley van der Spuy(Chief Executive),2009,88,,12,2,,2,"Port Hedland, Geelong",,1,Port Hedland,Marine,"Pilbara Ports Authority, Fortescue Metals Group,…Pilbara Ports Authority, Fortescue Metals Group, BHP Billiton, Wilhelmsen Port Services, Seacorp, Svitzer Australia.",$22.00m,Yes,
East West Express,77,,"Richard Shingles(Manager, WA)",2018,7,,19,,,1,"Welshpool, WA; Dandenong South, VIC; Gillman, SA",3 depots,2,"WA, SA, VIC",Transport and Logistics,,,Yes,
Aramex,,,,,,,,,,1,Welshpool,,29,,,,,,
Worldwide Freight,70,55,Mark Rogers(Managing Director),2002,10,,,,,,,,,Australia and worldwide,"Air freight, container services, courier…Air freight, container services, courier messengers, express freight, freight forwarders.",,,Yes,Worldwide Freight Pty Ltd
Burk,23,,"Umar Farooq(Founder, Managing Director)",2019,210,,41,41,,4,,,1,WA,Fuel Transport and Distribution,,NFP,Yes,Umar Farooq Holdings
Quickmail,61,,Sophie Stott(Managing Director),1992,23,,23,,,1,Kenwick,4000sqm,,Australia,Warehousing and logistics solutions,Safestyle,NFP,Yes,Quickpack Holdings Pty Ltd
Freo Group,18,16,Sven Gade(President / CEO),1974,300,,1030,497,,10,"Kwinana, Pinjarra, Bunbury, Geraldton, Kalgoorlie…Kwinana, Pinjarra, Bunbury, Geraldton, Kalgoorlie, Leonora, Karratha, Port Hedland, Newman, Tom Price, Darwin, Brisbane, Nebo, Moranbah, Mt Isa, Dysart, Mt Thorley, Muswellbrook, Orange, Smeaton Grange and Melbourne",21 Depots,11,Australia wide,"Crane Hire, Heavy Lifting, Logistics and Heavy…Crane Hire, Heavy Lifting, Logistics and Heavy Haulage","BHPIO, Rio Tinto, Woodside, FMG, BP, Water…BHPIO, Rio Tinto, Woodside, FMG, BP, Water Corporation, BHPNiW, CSBP,TiWest",$295.00m,Yes,Berkshire Hathaway Inc
Rentco,35,,Bob Shier(Managing Director),1994,108,,,"1,200",,1,"Kewdale (WA), Wacol and Bohle (QLD), Winnellie …Kewdale (WA), Wacol and Bohle (QLD), Winnellie (NT), Laverton North (VIC), Ingleburn (NSW), Pooraka (SA)",,6,Australia wide,Transport equipment rental,,,Yes,
ASCO Australia,55,47,Warren McHardie(Managing Director),2009,NFP,3,60,50,,2,"Perth, Dongara and Darwin",,2,"Western Australia, Northern Territory and South…Western Australia, Northern Territory and South Australia/Queensland through partnership","Oil and gas (onshore and offshore), supply base…Oil and gas (onshore and offshore), supply base and materials management, transport and logistics and remote camp services","Mitsiu, INPEX, Darwin Port, Schlumberger, Baker…Mitsiu, INPEX, Darwin Port, Schlumberger, Baker Hughes, Beach Energy, ERL, Strike Energy",,Yes,ASCO Group
Northfleet,21,15,Toby Hagen(Managing Director),2006,250,,,250,,6,"Port Hedland, Karratha, Newman, Bunbury,…Port Hedland, Karratha, Newman, Bunbury, Hazelmere, Osborne Park",6,,All of Western Australia,"Mining, Construction, Residential and Commercial…Mining, Construction, Residential and Commercial Construction; Oil and Gas; Hire Industry",Rio Tinto; Woodside; BHP Iron Ore; Civmec;…Rio Tinto; Woodside; BHP Iron Ore; Civmec; Primero; Melchor; Department of Communities; Mallard Contractors; Monadelphous; Coates; Onsite; Access Hire; Fleetwood; Ausco; Atco; Macs,,Yes,
BGC Australia,39,,Daniel Cooper(Chief Executive),1974,NFP,NFP,,,,2,,,,Whole of Western Australia,Building and construction industries;…Building and construction industries; Agricultural industries,,NFP,Yes,N/A
Saltbush Contracting,30,,Lachlan Jones(General Manager),2004,165,75,,35,,4,,,,Western Australia,"Off-Road Mining Bulk Haulage, On-Road Mining Bulk…Off-Road Mining Bulk Haulage, On-Road Mining Bulk Haulage, Heavy Haulage, Freight & Logistics",,,Yes,
