Ticker,LONG_COMP_NAME,CIE_DES_BULK
603626 CH Equity,Kunshan Kersen Science & Technology Co Ltd,
1697740D CN Equity,Aegean Metals Group Inc,
MALU IN Equity,Maan Aluminium Ltd,
SSH CN Equity,Smash Minerals Corp,
MMA AU Equity,Maronan Metals Pty Ltd,"Maronan Metals Pty Ltd provides exploration and mining services. The Companyexplores and develops copper, gold, and silver projects. Maronan Metals servescustomers worldwide."
NTSD IN Equity,National Standard India Ltd,
SPH AU Equity,Sphere Minerals Ltd,"Sphere Minerals Ltd. is a mineral exploration company. The Company explores foriron ore in Mauritania.  Sphere Minerals flagship project is the the Guelb elAouj Iron Ore (magnetite) Project in Mauritania, West Africa."
SMXMF US Equity,SAMEX Mining Corp,
002149 CH Equity,Western Metal Materials Co Ltd,"Western Metal Materials Co.,Ltd manufactures and sells metal products. TheCompany produces titanium products, layered metal composites, metal fiber, rareand precious metal materials, tungsten and molybdenum material, and more.Western Metal Materials conducts businesses in China."
TME CN Equity,Temex Resources Corp,
9888 JP Equity,UEX Ltd,"UEX, LTD. is a wholesaler of stainless steel materials.  The Company purchasesits raw materials mainly from Sumitomo Metal Industries and Nippon Steel Corp."
TRIC LN Equity,Tricor PLC,
CCY CN Equity,Catalyst Copper Corp,
1921 HK Equity,Dalipal Holdings Ltd,
1244276D CN Equity,Fury Explorations Ltd,
002220 KS Equity,Hanil Iron & Steel Co Ltd,
9505429Q CN Equity,Peru Copper Inc,
ALCM BU Equity,Alcomet AD-Shumen,
1119593D CN Equity,Silvore Fox Minerals Corp,
CLZ/H CN Equity,Canasil Resources Inc,
XPL US Equity,Solitario Resources Corp,"Solitario Resources Corp. provides exploration and mining services. The Companyengages in the acquisition, exploration, and development of zinc properties inNorth and South America. Solaris Resources serves customers worldwide."
STU IN Equity,Steel Tubes of India Ltd,
002540 CH Equity,Jiangsu Asia-Pacific Light Alloy Technology Co Ltd,
TSTR LN Equity,Tri-Star Resources Ltd,
5014 TT Equity,Chain Chon Industrial Co Ltd,
1532 TT Equity,China Metal Products,
TWX/X CN Equity,TWX Group Holding Ltd,
UCU CN Equity,Ucore Rare Metals Inc,
CLP CN Equity,Calypso Uranium Corp,
1574218D CN Equity,Starfire Minerals Inc,
GBGD US Equity,Global Gold Corp/US,"Global Gold Corporation is an international gold mining, development, andexploration company with mining properties in Chile and Armenia."
002667 CH Equity,Willing New Energy Co Ltd,"Willing New Energy Co., Ltd researches, develops, manufactures and sellslithium compounds and related products. The Company produces lepidolitebeneficiation, lithium carbonate, lithium concentrate, and other lithiumresource products. Willing New Energy also produces heavy mining machineriesand other products."
GDFI US Equity,Goldfields International Inc,
NWST CN Equity,Northwest Copper Corp,
GHA/H CN Equity,Golden Hat Resources Inc,
5707 JP Equity,Toho Zinc Co Ltd,"Toho Zinc Co., Ltd. is non-ferrous metal smelter. The Company produces zinc,lead, sulfuric acid, electronic parts, zinc sulfate, and silver. Toho Zinc alsooperates a recycling business."
MMI AU Equity,Metro Mining Ltd,Metro Mining Ltd focuses on the exploration and mining of aluminum and bauxitein tropical environments.
MCRF IN Equity,Micro Forge India Ltd,
GMX CN Equity,Globex Mining Enterprises Inc,
GM CN Equity,Geo Minerals Ltd,
MM1 AU Equity,Midas Minerals Ltd,"Midas Minerals Ltd operates as a mineral exploration company. The Companyexplores and develops gold, base metals, and PGE projects. Midas Mineralsserves customers worldwide."
KSV VN Equity,Vinacomin-Minerals Holding Corp,
MER/H CN Equity,Meritus Minerals Ltd,
GOD CN Equity,Goldrush Resources Ltd,
GDST IJ Equity,Gunawan Dianjaya Steel Tbk PT,
ELECM CI Equity,Cia Electro Metalurgica SA,
GNT/H CN Equity,Gentor Resources Inc,
HHH CN Equity,Helius Minerals Ltd,
LTEL3B BZ Equity,Litel Participacoes S/A,
LLOYDSET IN Equity,Lloyds Enterprises Ltd,
LKY CN Equity,Lucky Minerals Inc,
MI6 AU Equity,Minerals 260 Ltd,Minerals 260 Limited operates as a mining company. The Company focuses onmining of precious and base metals. Minerals 260 serves customers in Australia.
BON SW Equity,Bondpartners SA,
300549 CH Equity,Jouder Precision Industry Kunshan Co Ltd,
AAA CN Equity,Allana Potash Corp,
LEC/H CN Equity,Lignol Energy Corp,
VEM/H CN Equity,Forrester Metals Inc,
MRR AU Equity,MinRex Resources Ltd,"MinRex Resources Limited operates as a mineral exploration and developmentcompany. The Company focuses on on exploration and development of gold, basemetal, and tin projects. MinRex Resources offers its services in Australia."
CDB CN Equity,Cordoba Minerals Corp,
VEC AU Equity,Vector Resources Ltd,Vector Resources Ltd. explores for iron ore in Australia.
MSV AU Equity,Mitchell Services Ltd,"Mitchell Services Limited operates drill rigs. The Company provides surface andunderground contract drilling services to the exploration, mining, and energyindustries. Mitchell Services serves clients in Australia."
BXR/H CN Equity,Blue River Resources Ltd,
VRX AU Equity,VRX Silica Ltd,
0560891D CN Equity,Centenario Copper Corp,
ZEUS US Equity,Olympic Steel Inc,"Olympic Steel, Inc. processes and distributes flat-rolled carbon, stainlesssteel, and tubular steel products. The Company operates as an intermediarybetween steel producers and manufacturers that require processed steel for theiroperations. Olympic purchases steel from producers and processes it accordingto customer specifications."
BWL IN Equity,BWL Ltd,
MOI AU Equity,Mogul Resources Ltd,"Mogul Resources Ltd. is a mineral exploration and development company. TheCompany has assembled a targeted portfolio of projects for the discovery of newcopper, gold and lead-zinc deposits in India."
BLCC PZ Equity,Block Commodities Ltd,
600255 CH Equity,Anhui Xinke New Materials Co Ltd,"Anhui Xinke New Materials Co., Ltd. operates copper processing businesses. TheCompany produces, develops, and markets copper strips, copper alloy wires,copper rods, electric wires and cables, and other products. Anhui Xinke NewMaterials also engages in film development, production, investments, andrelated businesses."
VDM LN Equity,Van Dieman Mines PLC,
UXA AU Equity,UXA Resources Ltd,"UXA Resources Limited explores for, locates, and develops commercial gradeuranium and base metals.  The Company is focused exploring its holdings inuranium provinces in South Australia and Northern Territory and has recentlyexpanded with new uranium projects in Western Australia and a lead zinc projectin New South Wales"
TSA MK Equity,TSA GROUP BHD,
VMY AU Equity,Vimy Resources Ltd,Vimy Resources Limited is an uranium exploration and development company. TheCompany mines and produces uranium. Vimy Resources operates in Australia.
APX PM Equity,Apex Mining Co Inc,
VONE CN Equity,Voyager Metals Inc,
5660 JP Equity,KOBELCO WIRE CO LTD,"Kobelco Wire Co., Ltd. manufactures and produces steel products. TheCompany produces steel wires, steel ropes, titanium and foam aluminum wires,and other products. Kobelco Wire supplies its products in computer, automobile,fishing, construction, and other industries."
SEAG/X CN Equity,Seahawk Ventures Inc,
