ENO,name,status,commodity,owner,startDate,endDate,observationMethod,positionalAccuracy,source,status_uri,representativeCommodity_uri,specification_uri,LAT_GDA94,LONG_GDA94
570115,Mount Windarra Ni Au Tailings,historic mine,"Nickel, Gold, (Silver, Copper, Arsenic)",Poseidon Nickel Limited,,,"State or NT agency supplied location, method unknown",500 metres,http://www.poseidon-nickel.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,http://pid.geoscience.gov.au/id/feature/ga/er/mine/570115,-28.4999,122.2487
570181,Specimen Reef - Dunolly,historic mine,Gold,Octagonal Resources Limited,,,"State or NT agency supplied location, method unknown",500 metres,http://www.octagonalresources.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/570181,-36.8463,143.8152
570390,Wilson Hill,historic mine,Gold,GBM Gold Limited,,,"State or NT agency supplied location, method unknown",500 metres,http://www.gbmgold.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/570390,-36.7411,144.1097
570392,Venus (BHP),operating mine,Nickel,"BHP Billiton Limited, BHP Group Limited",1/09/2019,,"company supplied location, method unknown",500 metres,"http://www.bhpbilliton.com/, https://www.bhp.com/",http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,http://pid.geoscience.gov.au/id/feature/ga/er/mine/570392,-27.815,120.704
570873,Pinnacles - Carosue Dam,historic mine,Gold,Saracen Mineral Holdings Limited,,,"State or NT agency supplied location, method unknown",500 metres,http://www.saracen.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/570873,-30.2866,122.3715
570934,Twilight - Fortnum,historic mine,Gold,Westgold Resources Limited,,,"State or NT agency supplied location, method unknown",500 metres,http://www.westgold.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/570934,-25.3183,118.3591
573729,Koppio Mine,historic mine,Graphite,Lincoln Minerals Limited,,,"State or NT agency supplied location, method unknown",200 metres,http://www.lincolnminerals.com.au,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,http://pid.geoscience.gov.au/id/feature/ga/er/mine/573729,-34.4274,135.907229
573750,Sanjiv Ridge Iron Ore ,operating mine,"Iron ore, (Iron)",Atlas Iron Ltd,1/01/2021,,method unknown,100 metres,http://www.atlasiron.com.au,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://resource.geosciml.org/classifier/cgi/commodity-code/iron-ore,http://pid.geoscience.gov.au/id/feature/ga/er/mine/573750,-21.47399811,119.6649439
575546,Paris Silver Project,feasibility,"Silver, Lead",,7/05/2024,,"State or NT agency supplied location, method unknown",50 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/feasibility,http://resource.geosciml.org/classifier/cgi/commodity-code/silver,http://pid.geoscience.gov.au/id/feature/ga/er/mine/575546,-32.646971,136.019318
575760,WAIO (BHP),operating mine,"Iron ore, (Iron)","BHP Billiton Limited, ITOCHU MINERALS & ENERGY OF AUSTRALIA PTY LTD, MITSUI & CO. (AUSTRALIA) LTD., BHP Group Limited",,,"State or NT agency supplied location, method unknown",5 metres,"http://www.bhpbilliton.com/, http://www.itochu.com.au/metals_mineral.html, http://www.mitsui.com/au, https://www.bhp.com/",http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://resource.geosciml.org/classifier/cgi/commodity-code/iron-ore,http://pid.geoscience.gov.au/id/feature/ga/er/mine/575760,-20.308617,118.57008
576054,Butcherbird,operating mine,"Manganese ore, (Manganese)",Element 25 Limited,1/06/2021,,other method,1000 metres,https://www.element25.com.au,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576054,-24.4082,119.7068
576105,Laverton Operations,operating mine,Gold,Genesis Minerals Ltd,,,satellite image,999 metres,http://www.genesisminerals.com.au,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576105,-28.765,122.0772
576107,Porphyry Project,historic mine,Gold,"Saracen Mineral Holdings Limited, Northern Star Resources Limited",,,satellite image,999 metres,"http://www.nsrltd.com/, http://www.saracen.com.au/",http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576107,-29.82,122.3
576108,Carosue Dam Project,operating mine,Gold,"Saracen Mineral Holdings Limited, Northern Star Resources Limited",,,satellite image,999 metres,"http://www.nsrltd.com/, http://www.saracen.com.au/",http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576108,-30.12,122.35
576137,Tuckabianna Project,historic mine,Gold,Silver Lake Resources Limited,,,satellite image,10000 metres,http://www.silverlakeresources.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576137,-27.4867,118.1168
