ENO,DEPOSIT_NAME,SYNONYMS,STATE,LONG_GDA94,LAT_GDA94,ACCURACY_M,OPERATING_STATUS,COMMODITY_PRIMARY,COMMODITY_SECONDARY,COMMODITY_NAMES,COMPANIES,COMPANY_WEBSITES,PROVINCES,GEOLOGIC_AGE,DEPOSIT_MODEL
335097,Shes Right East,Barnicoat Project,WA,122.4927,-28.6059,500,historic mine,Au,,Gold,Focus Minerals Limited,http://www.focusminerals.com.au/,"Yilgarn Craton, Eastern Goldfields Province",Archean,
335100,Princhester,,QLD,149.977,-22.862,100,mineral deposit,"Cr, Mgs, MgO",,"Chromium, Magnesite, Magnesia (magnesium oxide)",Lachlan Star Ltd,https://lachlanstar.com,"New England Orogen, Marlborough Province",,
335104,Invincible,,NSW,150.03,-33.3269,500,care and maintenance,Cbl,,Coal - black,"Shoalhaven Coal Pty Ltd, Coalpac Pty Ltd",http://cetresources.com//,Sydney Basin,,
335105,Perseverance,Peak Mines Project,NSW,145.8824,-31.5715,500,operating mine,"Au, Cu",,"Gold, Copper","New Gold Incorporated, Goldcorp","http://www.newgold.com/, http://www.goldcorp.com/","Lachlan Orogen, Cobar Basin",Paleozoic,
335106,West Lynn (Girilambone),"EL8631, Girilambone, Westlynn/Summervale",NSW,147.0391,-31.4982,50,mineral deposit,"Al2O3, Ti, FeOre, Ni, Co, Au, K2O, TiO2, Fe, Pt","Al, Sc","Alumina, Titanium, (Aluminium, Iron ore, Nickel, Cobalt, Gold, Potash, Titanium dioxide, Iron, Platinum, Scandium)","Develop Global Ltd, Alchemy Resources Limited","https://develop.com.au/, http://www.alchemyresources.com.au/",Lachlan Orogen,Cenozoic,
335107,Dugite,Marda Project,WA,119.2656,-30.1898,500,mineral deposit,Au,,Gold,Ramelius Resources Limited,http://www.rameliusresources.com.au/,"Yilgarn Craton, Southern Cross Province",Archean,
335108,Federal City,Burnakura Project,WA,118.451,-27.0652,500,historic mine,Au,,Gold,"Monument Mining Limited, Kentor Gold Limited","http://www.monumentmining.com/s/home.asp, http://www.kentorgold.com.au/",Yilgarn Craton,Archean,
335109,Treeton,,WA,115.2126,-33.8892,999,mineral deposit,Cbl,,Coal - black,"Core Resources, Tiaro Coal Limited, Vasse Coal Management","http://vassecoal.com.au/site/index.cfm, http://www.coreresources.com.au/, http://www.tiarocoal.com.au/",Perth Basin,,
335111,Boddington,"Hedges, Wandoo",WA,116.3581,-32.7509,500,operating mine,"Au, Cu",,"Gold, Copper",Newmont Mining Corporation,http://www.newmont.com/,"Yilgarn Craton, Boddington Gold Metallogenic Province, Southwest Terrane, Western Gneiss Terrane",Archean,"Environment: Magmatic hydrothermal, Group: Porphyry, Type: Porphyry copper ± gold"
335112,Galwadgere,"Dawn of Galwadgere, Wellington Project",NSW,149.0511,-32.6651,500,mineral deposit,"Cu, Au",,"Copper, Gold",Sky Metals Ltd,https://www.skymetals.com.au,"Lachlan Orogen, Lachlan Orogen, Woodlawn Base Metal Metallogenic Province, Hill End Trough",Paleozoic,"Environment: Volcanic basin hydrothermal, Group: Volcanogenic massive sulfide (VMS), Type: Felsic-siliciclastic VMS"
335113,Gympie,,QLD,152.6886,-26.2139,200,historic mine,Au,,Gold,Fe Limited,http://www.felimited.com.au/,"New England Orogen, Gympie Gold Province, Gympie Province",,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
335114,Hill 50,Mt Magnet Project,WA,117.7972,-28.0336,500,mineral deposit,Au,,Gold,Ramelius Resources Limited,http://www.rameliusresources.com.au/,"Yilgarn Craton, Big Bell Gold Metallogenic Province, Murchison Domain",Archean,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Hypozonal orogenic gold"
335115,Hill End,Tambaroora,NSW,149.465,-32.8678,50,mineral deposit,Au,,Gold,Vertex Minerals Limited,http://www.vertexminerals.com,"Lachlan Orogen, Lachlan Orogen, Hill End, Hill End - Ngunnawal Province",,
335116,Horn Island,,QLD,142.3177,-10.6056,250,historic mine,Au,,Gold,Alice Queen Limited,http://www.alicequeen.com.au,"Cape York - Oriomo Province, Cape York-Oriomo Inlier, Horn Island",,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
335118,Koala,Koala,QLD,147.3527,-21.4027,500,historic mine,Au,,Gold,GBM Resources Limited,http://www.gbmr.com.au/,"Drummond Basin, Drummond Basin, Pajingo Metallogenic Province",,"Environment: Magmatic hydrothermal, Group: Epithermal, Type: Low-sulfidation (LS) epithermal gold-silver"
