ENO,DEPOSIT_NAME,SYNONYMS,STATE,LONG_GDA94,LAT_GDA94,OPERATING_STATUS,COMMODITY_PRIMARY,COMMODITY_SECONDARY,COMMODITY_NAMES,COMPANIES,PROVINCES,GEOLOGIC_AGE,ENVIRONMENT,GROUP,TYPE,IGNEOUS,SEDIMENTARY,TECTONIC
333961,Collingwood (Coal Project),,QLD,150.0181,-25.9853,mineral deposit,Cbl,,Coal - black,"New Hope Coal, MITSUI & CO. (AUSTRALIA) LTD.",Surat Basin,Mesozoic,,,,,Surat Basin,Connors-Auburn Province
333962,Yarlarweelor,Grosvenor Gold Project,WA,118.3604,-25.3437,historic mine,Au,,Gold,"Westgold Resources Limited, Resource and Investment NL",Yilgarn Craton,Proterozoic,,,,Warakurna Large Igneous Province,Bryah Basin,West Australian Element
333963,The Mount,Mount Project,WA,121.5698,-31.5287,historic mine,Au,,Gold,Lukah Mining Pty Ltd,"Yilgarn Craton, Eastern Goldfields Province",Archean,,,,,,West Australian Element
333964,Western Queen,Western Queen Project,WA,117.1261,-27.5321,mineral deposit,Au,,Gold,Rumble Resources Ltd,"Yilgarn Craton, Murchison Province",Archean,,,,Warakurna Large Igneous Province,,West Australian Element
333966,Mountain of Light,Leigh Creek,SA,138.4513,-30.5789,care and maintenance,Cu,,Copper,Strategic Minerals Plc,Delamerian Orogen,Proterozoic,Magmatic hydrothermal,Replacement,,,,South Australian Element
333967,Lady Harriet,,WA,121.0316,-29.7251,historic mine,Au,,Gold,Brightstar Resources Ltd,Yilgarn Craton,,,,,,,West Australian Element
333968,Shearers,Nullagine Gold Project,WA,120.2106,-21.9164,historic mine,Au,,Gold,Millennium Minerals Limited,Pilbara Craton,Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,Warakurna Large Igneous Province,,Pilbara Craton
333969,Admiral Bay,,WA,122.2636,-19.1904,mineral deposit,"Zn, Pb","Ag, Ba","Zinc, (Silver, Lead, Barium)",Kagara Limited,"Canning Basin, Broome Platform",,Basin hydrothermal,Mississippi Valley-type (MVT),MVT zinc-lead,Kalkarindji Igneous Province,Canning Basin,Central Australian Element
333970,Comet Vale,"Gladstone, Sand Queen",WA,121.131,-29.9549,operating mine,Au,,Gold,Labyrinth Resources Ltd,"Yilgarn Craton, Kalgoorlie Gold Metallogenic Province, Norseman-Wiluna Belt",Archean,,,,,,West Australian Element
333972,Goulds Dam,"Armchair, Armchair-Streitberg, Billeroo West, Streitberg",SA,139.95,-31.467,mineral deposit,U,U3O8,"Uranium, (Uranium oxide)",Uranium One Incorporated,"Lake Eyre Basin, Callabonna Sub-basin",Cenozoic,Infiltrational,Uranium,Sandstone uranium,,Billeroo Paleovalley,Curnamona Province
333975,Western Ridge,,WA,119.583,-23.3984,mineral deposit,FeOre,Fe,"Iron ore, (Iron)",BHP Group Limited,Hamersley Basin,Archean,,,,Warakurna Large Igneous Province,Hamersley Basin,Pilbara Craton
333982,Mungana,Chillagoe,QLD,144.3825,-17.0991,mineral deposit,"Zn, Cu, Au, Pb, Sb","Ag, Cd","Zinc, Copper, (Silver, Gold, Lead, Antimony, Cadmium)",Tartana Minerals,Hodgkinson Province,,Magmatic hydrothermal,Skarn,Skarn zinc-lead-silver,,,Mossman Orogen
333983,Waterloo,Ravenswood Consolidated,QLD,146.112,-20.3798,mineral deposit,"Zn, Cu, Pb","Au, Ag","Zinc, Copper, (Gold, Lead, Silver)",Sunshine Metals Ltd,"Charters Towers Province, Lolworth-Ravenswood Block, Thalanga Base Metal Metallogenic Province, Seventy Mile Range Subprovince",,Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),Bimodal-mafic VMS,,,Charters Towers Province
333986,The Peak,"Cobar, Peak, Peak Mine, Peak Mines Project",NSW,145.8778,-31.5653,operating mine,"Cu, Au",,"Copper, Gold","Goldcorp, Rio Tinto Limited","Lachlan Orogen, Lachlan Orogen, Cobar Basin",,Metamorphic hydrothermal,Orogenic,Orogenic copper ± gold,,Cobar Basin,Central NSW - Omeo Province
333988,Mulline,Mulline Project,WA,120.5206,-29.7839,historic mine,Au,,Gold,Swan Gold Mining Limited,"Yilgarn Craton, Kalgoorlie Gold Metallogenic Province, Southern Cross Province",Archean,,,,,,West Australian Element
333989,Burton,"Burton Downs, Kerlong, Plumtree",QLD,148.1726,-21.5886,operating mine,Cbl,,Coal - black,"Bowen Coking Coal Ltd, Lenton Joint Venture",Bowen Basin,,,,,,Bowen Basin,Anakie Province
333991,Saraji,,QLD,148.2911,-22.3694,operating mine,Cbl,,Coal - black,"BHP Group Limited, Mitsubishi Corporation, Mitsubishi Corp",Bowen Basin,,,,,,Bowen Basin,Anakie Province
