Ticker,Name,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees:Y,Sec Type,BICS L1 Sect Nm,BICS L2 IG Nm,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm,CIE_DES_BULK
GBR AU Equity,GREAT BOULDER RESOURCES LTD,64760149.47,0,36630576,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Great Boulder Resources Limited offers mining services. The Company providesexploration, development, and mining of gold deposits. Great Boulder Resourcesserves conducts its business in Australia."
GR8 AU Equity,GREAT DIRT RESOURCES LTD,7297876.95,,4273274,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Manganese, ,"Great Dirt Resources Ltd operates as a mining company. The Company focuses onthe identification and development of manganese deposits, and other metals inthe Barraba region of New South Wales, Australia"
GDM AU Equity,GREAT DIVIDE MINING LTD,16936456.13,,3850979,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Great Divide Mining Ltd operates as a mineral exploration and developmentcompany. The Company focus on exploration and development of its projects forgold, antimony, and copper, with lithium and rare earth metals being a secondaryfocus. Great Divide Mining serves customers in Canada."
571875Q AU Equity,GREAT EASTERN MINES LIMITED,,,,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Precious Stone Mining, ,"GREAT EASTERN MINES LIMITED, A SUBSIDIARY OF ODIN MINING & INVESTMENT COMPANY,MINES AND EXPLORES FOR PRECIOUS METALS IN ECUADOR AND WESTERN AUSTRALIA.  AUS-TRALIA PROSPECTS WHICH ARE MINED AND OPERATED BY THE COMPANY INCLUDE BRYAH ANDYARLAR WEELOR PEAK HILL, KOOKYNIE PROSPECT, NULLAGINE PROSPECT, TWO DEES GOLDPROJECT AND JENNY WREN COOLGARDIE PROSPECT."
GFM AU Equity,GREAT FINGALL MINING CO LTD,,,,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,Great Fingall Mining Pty Ltd manages various mining operations. The Companyproduces gold ore.
1223003D AU Equity,GREAT SOUTHERN MINES NL,,,13727000,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,Great Southern Mines NL explores for gold orebody through joint venture tene-ments near Kalgoorlie in Western Australia.
GTE AU Equity,GREAT WESTERN EXPLORATION LT,9935763.688,0,13557692,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Great Western Exploration Limited is an exploration company with the primaryobjective of creating wealth for shareholders through the discovery ofmineral deposits in Australia. The Company's focus is the acquisition andevaluation of gold, base metals and uranium prospects."
GGP AU Equity,GREATLAND RESOURCES LTD,4131830306,957367000,2115376000,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Greatland Resources Limited is a mining exploration company. The Companyexplores and develops gold and copper assets, located in the Paterson region ofWestern Australia. Greatland Resources operates in Australia."
GG1 AU Equity,GREEN & GOLD MINERALS LTD,,0,4369205,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,Green & Gold Minerals Limited provides exploration and mining services. TheCompany explores and develops gold mining projects across Queensland. Green &Gold Minerals serves customers worldwide.
GCM AU Equity,GREEN CRITICAL MINERALS LTD,65558701.3,0,12283557,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining, , ,"Green Critical Minerals Limited provides exploration and mining services. TheCompany explores and develops graphite, tungsten and topaz, and battery mineralprojects. Green Critical Minerals serves customers worldwide."
GT1 AU Equity,GREEN TECHNOLOGY METALS LTD,15205441.38,0,104167848,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Lithium,Green Technology Metals Limited provides exploration and mining services. TheCompany explores and develops lithium projects. Green Technology Metals servescustomers worldwide.
