Ticker,Company Name,Country of Domicile,Company Type,Market Cap,Revenue:Y,Tot Assets:Y,Tier_MarketCap,Tier_Revenue,Tier_Assets,CountryGroup,AssetTurnover,MarketToAsset,CapIntensity,Group_AssetTurnover,Group_MarketToAsset,Group_CapIntensity
MYG AU Equity,Mayfield Group Holdings Ltd,Australia,Common Stock,133240000.0,118140000.0,65950000.0,MicroCap,MidRevenue,MicroAsset,Australia,1.7913570887035632,2.0203184230477635,0.558235991196885,HighTurnover,HighValue,CapLight
DRE AU Equity,Dreadnought Resources Ltd,Australia,Common Stock,132070000.0,,53250000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,2.48018779342723,,UnknownTurnover,HighValue,UnknownCap
MDX AU Equity,Mindax Ltd,Australia,Common Stock,131530000.0,33530.0,26730000.0,MicroCap,VeryLowRevenue,MicroAsset,Australia,0.0012543958099513655,4.9206883651328095,797.1965404115717,LowTurnover,HighValue,CapHeavy
EUR AU Equity,European Lithium Ltd,Australia,Common Stock,130200000.0,,109840000.0,MicroCap,UnknownRevenue,LightAsset,Australia,,1.185360524399126,,UnknownTurnover,FairValue,UnknownCap
GPR AU Equity,Geopacific Resources Ltd,Australia,Common Stock,127920000.0,,76310000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,1.676320272572402,,UnknownTurnover,HighValue,UnknownCap
ORN AU Equity,Orion Minerals Ltd,Australia,Common Stock,127540000.0,,136600000.0,MicroCap,UnknownRevenue,LightAsset,Australia,,0.9336749633967789,,UnknownTurnover,FairValue,UnknownCap
ASM AU Equity,Australian Strategic Materials Ltd,Australia,Common Stock,127470000.0,3170000.0,227170000.0,MicroCap,VeryLowRevenue,LightAsset,Australia,0.013954307346920809,0.5611216269753929,71.66246056782335,LowTurnover,LowValue,CapHeavy
TSO AU Equity,Tesoro Gold Ltd,Australia,Common Stock,124910000.0,169880.0,37680000.0,MicroCap,VeryLowRevenue,MicroAsset,Australia,0.004508492569002123,3.3150212314225054,221.803626089004,LowTurnover,HighValue,CapHeavy
GML AU Equity,Gateway Mining Ltd,Australia,Common Stock,124330000.0,,28380000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,4.380902043692742,,UnknownTurnover,HighValue,UnknownCap
AGE AU Equity,Alligator Energy Ltd,Australia,Common Stock,124240000.0,,68140000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,1.823304960375697,,UnknownTurnover,HighValue,UnknownCap
