Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total Staff,Total staff in WA,Balance date,Total Revenue,Total Revenue (previous year),Operating Revenue,Operating Revenue (previous year),Profit or Loss,Profit or Loss (previous year),Total Assets,Total Assets (previous year),Total Liabilities,Total Liabilities (previous year),Trading status,Debt - Term Loans Due,Debt - Term Loans Expire,Debt - Interest Bearing Loan & Borrowing Date,Debt - Interest Bearing Loan & Borrowing Amount,Debt - Term Loans Amount,"Debt - Term Loans (e.g. Syndicated, bonds etc)",Short Term Debt,Short Term Debt (previous year),Long Term Debt,Long Term Debt (previous year),Joint Ventures - Partner Name,Joint Ventures - Beneficial Interest,Joint Ventures - Share of Revenue,Joint Ventures - Carrying Amount,Joint Ventures - Profit/Loss,Joint Ventures - Assets,Joint Ventures - Liabilities,Associates - Name,Associates - Beneficial Interest,Associates - Share of Revenue,Associates - Carrying Amount,Associates - Profit/Loss,Associates - Assets,Associates - Liabilities,Company Status,Lawyers,Auditors,Geographical,Industry,Shares (million),ASX Code,Share Registry,Home Exchange,Ultimate holding company
Mineral Commodities,529,,,,,,30-Dec-2024,$0,$41.77m,$0,$41.32m,$-79.97m,$-14.57m,$29.15m,$135.59m,$32.56m,$54.64m,,,,,,,,$11.08m,$5.97m,$0,$6.04m,,,,,,,,,,,,,,,,,BDO Audit (WA) Pty Ltd,,"Mineral Commodities Ltd (MRC) is a mining and…Mineral Commodities Ltd (MRC) is a mining and development company. It is a vertically integrated diversified producer of graphitic anode materials and value-added mineral products with a commitment to operate with a focus on the Environment, Sustainability and Governance.",984,MRC,,PERTH,
Marvel Gold,232,,,,,,30-Dec-2024,$264.53k,$255.07k,$0,$0,$-3.74m,$-7.08m,$3.38m,$6.98m,$451.34k,$112.88k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"Marvel Gold Limited (MVL) is an Australian…Marvel Gold Limited (MVL) is an Australian resources company listed on the Australian Securities Exchange. The Company's focus is on gold and other metals exploration, with existing assets in Mali. The Company is seeking new opportunities which provide long-term sustainable growth for the Company. Pursuant to the disposal of the Chilalo Graphite Project, the Company holds 50m shares in ASX listed graphite company, Evolution Energy Minerals Limited.","1,419",MVL,,PERTH,
New Murchison Gold,317,,,,,,30-Sep-2024,$44.38k,$0,$0,$0,$-2.71m,$-2.16m,$15.75m,$7.11m,$1.09m,$2.14m,,,,,,,,$61.75k,$54.49k,$50.52k,$110.88k,,,,,,,,,,,,,,,,,Stantons International Audit and Consulting Pty…Stantons International Audit and Consulting Pty Ltd,,"New Murchison Gold Limited (NMG, formerly Ora…New Murchison Gold Limited (NMG, formerly Ora Gold Limited) is an Australian mineral exploration company focusing on copper, gold, and uranium projects in Western Australia and the Northern Territory. Recent progress includes advancing the Crown Prince Project towards production, resource estimate increases, and forming strategic alliances.","10,782",NMG,,PERTH,
Noronex Limited,321,,Victor Rajasooriar(Managing Director and Chief Executive ),2017,,,30-Jun-2024,$40.68k,$0,$0,$0,$-2.51m,$-3.36m,$3.81m,$3.32m,$754.42k,$424.52k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,HLB Mann Judd,,"Noronex (NRX) is an ASX listed copper company…Noronex (NRX) is an ASX listed copper company with projects in the Kalahari Copper Belt, Namibia and in Ontario, Canada that have seen 170,000m of historic drilling. The 80,000Ha Dorwit Project in Namibia has a JORC (2012) resource of 10mt @1.3% Cu. The 30,000Ha Onaman Project in Canada has a JORC (2012) resource of 1.6mt @ 1.6% Cu. The Company plans to use technology and exploration techniques to generate new targets at the projects and grow the resource base.",565,NRX,,PERTH,
Novo Resources,209,,,,,,30-Dec-2024,$381.08k,$8.96m,$0,$0,$-26.04m,$-127.81m,$95.58m,$106.45m,$17.68m,$21.53m,,,,,,,,$131.14k,$1.17m,$347.46k,$446.00k,,,,,,,,,,,,,,,,,Deloitte Touche Tohmatsu,,"Novo Resources Corp. (NVO) is an gold explorer…Novo Resources Corp. (NVO) is an gold explorer with a land package covering approximately 10,500 square kilometers in the Pilbara region of Western Australia and Bendigo region of Victoria, Australia.",110,NVO,,PERTH,
Olympio Metals,228,,,,,,30-Mar-2025,$298.79k,$15.35k,$0,$0,$-5.64m,$-4.43m,$2.17m,$7.19m,$737.19k,$919.63k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,RSM Australia Partners,,"110Moz Au). In Australia, Olympio is working on exploring for carbonatite-based rare earth elements in South Australia."">Olympio Metals Limited (OLY) is an Australian…Olympio Metals Limited (OLY) is an Australian exploration company focused on finding new resources and increasing shareholder returns, mainly through the search and development of essential minerals projects. Olympio has built a group of promising projects in Australia and Canada. In Canada, the Company holds an option to acquire 80% of the Dufay Copper-Gold project, located on the Cadillac Break in Quebec, a regional area known for large-scale gold and copper deposits (>110Moz Au). In Australia, Olympio is working on exploring for carbonatite-based rare earth elements in South Australia.",103,OLY,,PERTH,
Omnia Metals Group,530,,,2022,,,30-Jun-2024,$0,$0,$0,$0,$-1.98m,$-1.06m,$8.14m,$9.85m,$278.64k,$608.96k,,,,,,,,$31.01k,$38.60k,$0,$31.01k,,,,,,,,,,,,,,,,Nova Legal,HLB Mann Judd,,"Omnia Metals Group Ltd (OM1) is an exploration…Omnia Metals Group Ltd (OM1) is an exploration company concentrated on exploring for future facing commodities used in advanced technologies, with a focus on nickel, copper and platinum group elements at its 100% owned Ord Basin Project in the Kimberly Region of Western Australia.",217,OM1,,PERTH,
OM Holdings,14,,Ngee Tong Low(Executive Chair),,,,30-Dec-2024,$1.07bn,$894.39m,$1.05bn,$861.45m,$14.97m,$26.51m,$1.51bn,$1.38bn,$838.16m,$769.47m,,,,,,,,$234.50m,$144.69m,$128.01m,$251.23m,,,,,,,,,,,,,,,,,Foo Kon Tan LLP,,"OM Holdings Limited (OMH) is a vertically…OM Holdings Limited (OMH) is a vertically integrated manganese ore and ferroalloy company. The company is engaged in the business of trading raw ores, smelting, and marketing of processed ferroalloys.",766,OMH,,,
Pilot Energy,115,,,,,,30-Sep-2024,$1.75m,$1.50m,$434.04k,$394.30k,$-4.82m,$-4.19m,$23.52m,$15.99m,$8.46m,$3.95m,,,,,,,,$2.85m,$97.07k,$3.02m,$2.95m,,,,,,,,,,,,,,,,MinterEllison,MNSA Pty Ltd,,"Pilot Energy Limited (PGY) is a junior oil and…Pilot Energy Limited (PGY) is a junior oil and gas exploration and production company that is pursuing the diversification and transition to the development of carbon management projects, production of hydrogen and clean ammonia for export to emerging APAC Clean Energy markets. The company intends to leverage its existing oil and gas operations and infrastructure to cornerstone these developments. The company is proposing to develop Australia's first offshore Carbon Storage Project through the conversion of the Cliff Head Oil field and associated infrastructure from oil production to Carbon Storage as part of the Mid West Clean Energy Project.","2,158",PGY,,PERTH,
Panther Metals,201,,"Daniel Tuffin(Managing Director, Chief Executive)",2021,,,30-Dec-2024,$417.42k,$14.12k,$0,$0,$-1.09m,$-1.15m,$8.43m,$7.46m,$145.60k,$350.42k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Criterion Audit Pty Ltd,,Panther Metals Ltd (PNT) is a Nickel-Cobalt and…Panther Metals Ltd (PNT) is a Nickel-Cobalt and Gold explorer.,300,PNT,,PERTH,
Prominence Energy,169,,,,,,30-Jun-2024,$700.21k,$14.77k,$0,$0,$-7.84m,$-979.69k,$2.35m,$8.13m,$517.52k,$612.94k,,,,,,,,$9.61k,$0,$12.67k,$0,,,,,,,,,,,,,,,,"Faisal A Shah, PLLC, GTP Legal",HLB Mann Judd,,"Prominence Energy Limited (PRM) is an Australia…Prominence Energy Limited (PRM) is an Australia-based company involved in oil and gas exploration and production, focusing on projects in the South Texas Gulf Coast, USA. Partnered with Pinnacle Exploration Ltd, PRM targets substantial gas resources in the Gulf of Mexico. Recent activities include acquiring blocks A87 and A90 for the Big Apple Project and seeking a strategic investor.",889,PRM,,PERTH,
Patronus Resources,52,,,,,,30-Jun-2024,$54.67m,$65.04k,$0,$0,$43.68m,$-8.95m,$86.24m,$21.76m,$2.24m,$3.50m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Blackwall Legal LLP,HLB Mann Judd,,"Patronus Resources Limited (PTN, formerly Kin…Patronus Resources Limited (PTN, formerly Kin Mining NL) is into gold and base metals exploration.","1,479",PTN,,PERTH,
Po Valley Energy,73,,,,,,30-Dec-2024,$11.21m,$4.21m,$10.92m,$3.78m,$4.00m,$949.13k,$30.43m,$24.17m,$3.76m,$2.27m,,,,,,,,$41.60k,$40.21k,$128.14k,$161.93k,,,,,,,,,,,,,,,,Steinepreis Paganin,HLB Mann Judd,,"Po Valley Energy Limited (PVE) is involved in…Po Valley Energy Limited (PVE) is involved in production and sale of gas from the Podere Maiar 1 well, exploration for gas and condensate in the Po Valley region of northern Italy and appraisal and development of gas and oil fields in that footprint.","1,159",PVE,,PERTH,
Resolute Mining,8,,,,,,30-Dec-2024,$1.29bn,$1.08bn,$1.29bn,$922.62m,$-45.52m,$213.18m,$1.32bn,$1.98bn,$541.00m,$473.36m,,,,,,,,$60.41m,$108.89m,$10.03m,$14.07m,,,,,,,,,,,,,,,,,Ernst & Young,,"Resolute is an African-focused experienced miner…Resolute is an African-focused experienced miner explorer, developer and operator of gold mines and other minerals. Resolute owns two producing gold mines, the Syama Gold Mine in Mali (Syama) and the Mako Gold Mine in Senegal (Mako).","2,129",RSG,,PERTH,
RTG Mining,330,,Justine Magee(Chief Executive),,,,30-Dec-2024,$35.32k,$55.31k,$0,$0,$-8.29m,$-6.39m,$6.37m,$15.51m,$2.64m,$2.75m,,,,,,,,$126.55k,$162.37k,$589.42k,$1.02m,,,,,,,,,,,,,,,,"Blake, Cassels & Graydon LLP, Corrs Chambers…Blake, Cassels & Graydon LLP, Corrs Chambers Westgarth",BDO Audit Pty Ltd,,"RTG Mining Inc. (RTG) is a mining and exploration…RTG Mining Inc. (RTG) is a mining and exploration company with focus on mineral exploration and development through its investment in its Philippines Associates. The Company is primarily focused on progressing the Mabilo Project to start-up having received a mining permit for the Project, with a view to moving to a producing gold and copper company.","1,861",RTG,,PERTH,
Richmond Vanadium Technology,346,,,2022,,,30-Jun-2024,$24.69k,$0,$0,$0,$-1.98m,$-3.67m,$44.72m,$48.94m,$1.66m,$1.38m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,HopgoodGanim Lawyers,Pitcher Partners BA&A Pty Ltd,,Richmond Vanadium Technology Limited (RVT) is an…Richmond Vanadium Technology Limited (RVT) is an Australian based Company focused on exploration and development with a particular focus on vanadium resources.,219,RVT,,PERTH,
Reward Minerals,182,,Lorry Hughes(Chief Executive),,,,30-Dec-2024,$535.27k,$17.73k,$0,$0,$-23.68m,$-22.67m,$5.73m,$24.46m,$7.03m,$4.33m,,,,,,,,$6.60m,$3.41m,$0,$0,,,,,,,,,,,,,,,,,In.Corp Audit & Assurance Pty Ltd,,"Reward Minerals Ltd (RWD) is an ASX-listed…Reward Minerals Ltd (RWD) is an ASX-listed advanced-stage sulphate of potash exploration and development company. The company's flagship is its 100%-owned Carnarvon Potash Project, located ~30km north of Carnarvon in north-western Western Australia. A heritage agreement has been executed with the Yinggarda Aboriginal Corporation RNTBC (YAC) who holds native title rights and interests on trust for the Yinggarda common law holders as defined in the Gnulli Determination.",272,RWD,,PERTH,
Robex Resources,36,,,2025,,,30-Dec-2024,$194.18m,$152.52m,$177.52m,$148.84m,$-12.98m,$-7.34m,$448.18m,$0,$165.23m,$0,,,,,,,,$33.85m,$0,$4.86m,$0,,,,,,,,,,,,,,,,Corrs Chambers Westgarth,PricewaterhouseCoopers LLP,,"Robex Resources Inc. (RXR) is a Company engaged…Robex Resources Inc. (RXR) is a Company engaged in gold exploration, development and production. The Company's important assets are in the Birimian Greenstone Belt in West Africa: The Kiniero Project in Guinea and the operating Nampala Project in Mali.",56,RXR,,PERTH,
Solara Minerals,531,,,2021,,,30-Jun-2024,$0,$98.43m,$0,$97.61m,$-776.68k,$-1.45m,$7.21m,$167.85m,$97.13k,$72.21m,,,,,,,,$0,$37.59m,$0,$17.73m,,,,,,,,,,,,,,,,Steinepreis Paganin,Criterion Audit Pty Ltd,,"Solara Minerals Limited (SLA, formerly Lycaon…Solara Minerals Limited (SLA, formerly Lycaon Resources Limited) is a mineral exploration company in Western Australia. It is focused on making discoveries with its projects located in the West Arunta, Kimberley and Pilbara Regions of Western Australia.",59,SLA,,PERTH,
Strata Minerals Limited,533,,,2019,,,30-Jun-2024,$0,$0,$0,$0,$-2.11m,$-2.78m,$2.83m,$5.61m,$317.24k,$703.57k,,,,,,,,$0,$12.68k,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,BDO Audit Pty Ltd,,"Strata Minerals Limited (SMX, formerly Nickelx…Strata Minerals Limited (SMX, formerly Nickelx Limited) is a Company engaged in exploration activities at its mining projects.",244,SMX,,PERTH,
Siren Gold,147,,,2017,,,30-Dec-2024,$1.02m,$0,$0,$0,$-9.39m,$-1.98m,$14.24m,$19.26m,$160.75k,$492.03k,,,,,,,,$15.08k,$38.65k,$0,$12.32k,,,,,,,,,,,,,,,,Steinepreis Paganin,Hall Chadwick WA Audit Pty Ltd,,"Siren Gold Limited (SNG) is a gold exploration…Siren Gold Limited (SNG) is a gold exploration company that is focused on the high-grade Reefton Goldfield in New Zealand. Siren holds a large 868 sq.km, strategic package of tenements in the Reefton, Lyell and Sams Creek Goldfields in the South Island of New Zealand.",264,SNG,,PERTH,
Sarama Resources,210,,,,,,30-Dec-2024,$374.60k,$504.78k,$0,$0,$-6.89m,$-3.62m,$1.99m,$3.60m,$2.37m,$2.80m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,"Cassels Brock & Blackwell LLP, Hamilton Locke",HLB Mann Judd,,"Sarama Resources (SRR) is a Canadian-incorporated…Sarama Resources (SRR) is a Canadian-incorporated mineral exploration and development company having advanced substantial exploration landholdings in prospective and underexplored areas in south-west Burkina Faso, West Africa and has interests in two projects located principally in the Hounde Belt. It also is in the process of acquiring a new gold exploration project in Australia.",366,SRR,,PERTH,
Sun Silver,534,,,2024,,,30-Dec-2024,$0,$2.49k,$0,$0,$-2.27m,$-368.82k,$24.23m,$7.56m,$331.85k,$33.00k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Hamilton Locke Pty Ltd,William Buck Audit (VIC) Pty Ltd,,Sun Silver Limited (SS1) is an exploration and…Sun Silver Limited (SS1) is an exploration and development company with as focus on developing the Maverick Springs Property located in Nevada.,132,SS1,,PERTH,
Turaco Gold,175,,,,,,30-Dec-2024,$623.59k,$10.11k,$0,$0,$-12.47m,$-4.98m,$69.35m,$9.62m,$14.34m,$807.44k,,,,,,,,$0,$30.52k,$0,$0,,,,,,,,,,,,,,,,,HLB Mann Judd,,"Turaco Gold Limited (TCG, formerly Manas Resource…Turaco Gold Limited (TCG, formerly Manas Resource Limited) is into acquiring, exploring and developing mineral interests in Cote d Ivoire, prospective for gold deposits. Turaco exploration focus concentrates the Afema Gold Project on the border of Ghana, the Eburnea Gold Project in central Cote d Ivoire and advancing its highly prospective projects in northern Cote d Ivoire.","1,050",TCG,,PERTH,
Tombador Iron,135,,,,,,30-Dec-2024,$1.29m,$511.30k,$0,$166.64k,$-1.19m,$-20.45m,$13.18m,$14.36m,$750.93k,$1.18m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,HLB Mann Judd,,"Tombador Iron Limited (TI1, formerly Resa Group…Tombador Iron Limited (TI1, formerly Resa Group Limited) owns 100% of the fully permitted Tombador Iron Ore mine located in Bahia State Brazil. The Company commenced production of lump and fines hematite iron ore in May 2021 from a low-capex open-pit mining operation.",86,TI1,,PERTH,
Trek Metals,160,,,,,,30-Mar-2025,$864.42k,$120.09k,$0,$0,$-3.42m,$-1.71m,$14.92m,$18.57m,$403.67k,$1.08m,,,,,,,,$26.43k,$28.84k,$12.02k,$35.60k,,,,,,,,,,,,,,,,,Hall Chadwick WA Audit Pty Ltd,,Trek Metals Limited (TKM) is a Company engaged…Trek Metals Limited (TKM) is a Company engaged in the identification and exploration for mineral resources.,601,TKM,,PERTH,
TMK Energy,136,,,,,,30-Dec-2024,$1.27m,$8.97k,$0,$0,$-1.38m,$-2.59m,$24.36m,$18.30m,$629.36k,$493.80k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,BDO Audit Pty Ltd,,"TMK Energy Limited (TMK) is a gas exploration…TMK Energy Limited (TMK) is a gas exploration company listed on the Australian Stock Exchange and operates within the global energy sector. Holding a 100% interest in the Gurvantes XXXV Project in the South Gobi Basin of Mongolia, TMK is maintaining its role in the industry.","10,222",TMK,,PERTH,
Tennant Minerals,535,,,,,,30-Jun-2024,$0,$0,$0,$0,$-3.92m,$-5.03m,$4.68m,$4.68m,$505.76k,$1.20m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Nexia Perth Audit Services Pty Ltd,,"Tennant Minerals NL (TMS) is an exploration and…Tennant Minerals NL (TMS) is an exploration and development company in the Bluebird copper gold discovery on its 100%-owned Barkly Project tenements, located approximately 40km east of Tennant Creek in the Northern Territory. The objective of these new programs will be to extend the Bluebird discovery and define copper-gold mineralization to support a mining and processing project at Bluebird.","1,065",TMS,,PERTH,
Triton Minerals,536,,,,,,30-Dec-2024,$0,$0,$0,$0,$-6.36m,$-2.77m,$30.55m,$30.28m,$8.61m,$1.48m,,,,,,,,$108.79k,$99.80k,$77.43k,$186.22k,,,,,,,,,,,,,,,,Gilbert + Tobin Lawyers,William Buck Audit (WA) Pty Ltd,,Triton Minerals (TON) is a Company engaged in…Triton Minerals (TON) is a Company engaged in advancement of the Ancuabe and Cobra Plains Graphite Projects and early-stage exploration on the Aucu Copper/Gold project all located in Mozambique.,"1,568",TON,,PERTH,
Toubani Resources,537,,,,,,30-Dec-2024,$0,$0,$0,$0,$-8.21m,$-9.69m,$9.35m,$4.28m,$748.64k,$872.09k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Thomson Geer,BDO Audit Pty Ltd,,"Toubani Resources (TRE) is an exploration and…Toubani Resources (TRE) is an exploration and development Company focused on advancing Africa's next gold development project with its oxide dominant Kobada Gold Project. The Company is advancing projects through exploration, development and into production.",351,TRE,,PERTH,
Titan Minerals,156,,,,,,30-Dec-2024,$918.45k,$5.52m,$0,$0,$-10.12m,$-2.11m,$97.91m,$76.18m,$5.62m,$8.78m,,,,,,,,$2.10m,$1.50m,$0,$1.85m,,,,,,,,,,,,,,,,,Stantons International Audit and Consulting Pty…Stantons International Audit and Consulting Pty Ltd,,"Titan Minerals Limited (TTM) is a gold developer…Titan Minerals Limited (TTM) is a gold developer and copper explorer focused on uncovering Tier One deposits in Ecuador. With several large exploration projects in the country's southern Andean copper belt, Titan has significant exposure to large-scale gold and copper in a highly prospective, yet underexplored part of the world.",260,TTM,,PERTH,
VBX,401,,,2023,,,30-Jun-2024,$78,$900,$0,$0,$-3.46m,$-2.01m,$0,$0,$0,$0,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Hamilton Locke Pty Ltd,BDO Audit Pty Ltd,,VBX Limited (VBX) is a responsible and near-term…VBX Limited (VBX) is a responsible and near-term producer of Australian bauxite. The Company holds four granted exploration licences comprising the Wuudagu Bauxite Project and has conducted multiple exploration programs and related studies since 2016. The Company has lodged two exploration licence applications over the area of the Takapinga Bauxite Project which is at an initial stage of exploration.,40,VBX,,PERTH,
Voltaic Strategic Resources,133,,,,,,30-Dec-2024,$1.38m,$0,$0,$0,$75.66k,$-1.74m,$11.17m,$10.73m,$205.69k,$206.60k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Dry Kirkness (Audit) Pty Ltd,,"Voltaic Strategic Resources Limited (ASX:VSR) …Voltaic Strategic Resources Limited (ASX:VSR) (Voltaic) is a mineral exploration company that has assembled a portfolio of exciting battery and precious metals exploration projects in the Gascoyne and Meekatharra regions of Western Australia (WA), and in Nevada, USA.",567,VSR,,PERTH,
Victory Metals Limited,158,,"Brendan Clark(Chief Executive, Executive Director)",2021,,,30-Jun-2024,$878.56k,$0,$0,$0,$-1.91m,$-1.26m,$11.02m,$8.67m,$539.12k,$511.55k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Hall Chadwick WA Audit Pty Ltd,,"Victory Metals Limited (VTM, formerly Victory…Victory Metals Limited (VTM, formerly Victory Goldfields Limited) is an exploration company focused on the exploration and development of its North Stanmore Heavy Rare Earth Element Project within the portfolio of underexplored and contiguous tenements in the Cue goldfields of Western Australia, being the Victory Tenements.",130,VTM,,PERTH,
Vulcan Energy Resources,56,,Francis Wedin(Executive Chair),2018,,,30-Dec-2024,$37.01m,$49.71m,$13.59m,$10.97m,$-70.90m,$-43.62m,$637.81m,$480.32m,$49.34m,$46.27m,,,,,,,,$1.29m,$1.76m,$5.16m,$5.38m,,,,,,,,,,,,,,,,Brookfield Place Tower II,RSM Australia Partners,,"Vulcan Energy Resources Limited (VUL) is building…Vulcan Energy Resources Limited (VUL) is building the first carbon neutral, integrated lithium and renewable energy business to decarbonise battery production. The Company's Lionheart Project, located in the Upper Rhine Valley Brine Field bordering Germany and France, is the lithium resource in Europe1 and a tier-one lithium project globally. Harnessing natural heat to produce lithium from sub-surface brines and to power conversion to battery grade material",234,VUL,,PERTH,
West African Resources,18,,"Richard Hyde(Executive Chair, Chief Executive)",,,,30-Dec-2024,$724.50m,$658.94m,$724.37m,$658.82m,$223.84m,$146.87m,$1.97bn,$1.22bn,$660.42m,$315.01m,,,,,,,,$30.27m,$16.07m,$395.70m,$133.08m,,,,,,,,,,,,,,,,,HLB Mann Judd,,"West African Resources Limited (WAF) is…West African Resources Limited (WAF) is headquartered in Perth, Western Australia and. The Company and its controlled subsidiaries undertake gold mining, mineral processing, exploration, project development, community & social sustainability, and rehabilitation within the West African country of Burkina Faso.","1,141",WAF,,PERTH,
Woodside Energy,2,,"Meg O'Neill(Chief Executive, Managing Director)",1954,,,30-Dec-2024,$22.20bn,$20.93bn,$20.82bn,$20.18bn,$5.75bn,$2.43bn,$98.54bn,$80.94bn,$40.39bn,$29.52bn,,,,,,,,$1.90bn,$435.67m,$16.79bn,$9.06bn,,,,,,,,,,,,,,,,,PricewaterhouseCoopers,,"Woodside Energy Group Ltd (WDS) is an Australian…Woodside Energy Group Ltd (WDS) is an Australian oil and gas company involved in hydrocarbon exploration, evaluation, development, production and marketing.","1,898",WDS,,PERTH,
Winchester Energy,103,,,2014,,,30-Dec-2024,$2.98m,$4.56m,$2.97m,$4.05m,$-2.14m,$-3.75m,$11.44m,$11.73m,$2.04m,$2.06m,,,,,,,,$54.52k,$112.57k,$133.74k,$0,,,,,,,,,,,,,,,,Looper Ballew,Hall Chadwick WA Audit Pty Ltd,,"Winchester Energy Limited (WEL) acquires oil and…Winchester Energy Limited (WEL) acquires oil and gas leases and working interests in areas situated on the eastern Shelf of the Permian Basin in Texas, USA and exploring for oil and gas on those oil and gas leases.","1,363",WEL,,PERTH,
Wia Gold Limited,538,,,,,,30-Jun-2024,$0,$0,$0,$0,$-3.62m,$-1.52m,$43.77m,$17.23m,$1.17m,$278.76k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Hamilton Locke,Pitcher Partners BA&A Pty Ltd,,WIA Gold Limited (WIA) is engaged in gold and…WIA Gold Limited (WIA) is engaged in gold and base metals exploration and evaluation in Namibia and Cote dlvoire.,"1,474",WIA,,PERTH,
Waratah Minerals,285,,,,,,30-Dec-2024,$93.58k,$10.37k,$0,$0,$-24.12m,$-8.10m,$10.50m,$24.46m,$612.32k,$373.64k,,,,,,,,$48.67k,$0,$39.23k,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,KPMG,,Waratah Minerals Limited (WTM)  is an ASX listed…Waratah Minerals Limited (WTM)  is an ASX listed public company focused on the discovery and development of high-value mineral resources in Australia. The Company retains exposure to the graphite market via its interest in emerging major producer Tirupati Graphite.,273,WTM,,PERTH,
Xstate Resources,176,,,,,,30-Dec-2024,$618.38k,$10.06m,$587.89k,$7.52m,$1.18m,$1.40m,$4.53m,$12.73m,$1.12m,$10.54m,,,,,,,,$0,$4.89k,$0,$0,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,Xstate Resources (XST) is an ASX listed company…Xstate Resources (XST) is an ASX listed company focused on the oil and gas sector. The Company has existing oil and gas assets located in United States of America; Austria; Canada.,144,XST,,PERTH,
Yari Minerals,348,,,,,,30-Dec-2024,$24.17k,$-18.75k,$0,$0,$-1.15m,$-1.46m,$2.33m,$3.57m,$186.76k,$282.70k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,AGH Law,HLB Mann Judd,,"Yari Minerals (YAR) owns 100% of the Rolleston…Yari Minerals (YAR) owns 100% of the Rolleston South Coal Project, strategically positioned in Queensland's Bowen Basin - one of the world's leading coal-producing regions. Recent geological reinterpretation and integration of open-source coal seam gas well data has driven a 91% uplift in JORC Inferred Resource to 151Mt, with further growth targeted through near-term drilling. Backed by robust infrastructure access, a clear development pathway, and a seasoned management team, the company is focused to leverage strong thermal and semi-soft coking coal markets.",689,YAR,,PERTH,
Tali Resources,,,,2023,,,30-Jun-2024,$0,,$0,,"$-1,000",,$0,,$0,,,,,,,,,$0,,$0,,,,,,,,,,,,,,,,,EMK Lawyers Pty Ltd,RSM Australia Partners,,"Tali Resources Ltd (TR2) is a copper, critical…Tali Resources Ltd (TR2) is a copper, critical and precious metals focused exploration company with an exploration tenement package in the West Arunta region of Western Australia.",37,TR2,,PERTH,
XTC Lithium,,,"Kevin Lynn(Chief Financial Officer, Company Secretary, Non Executive Director)",,,,30-Jun-2024,$190.85k,$0,$0,$0,$-8.06m,$-5.75m,$40.71m,$49.22m,$5.02m,$9.18m,,,,,,,,$3.42m,$1.02m,$0,$0,,,,,,,,,,,,,,,,,RSM Australia Partners,,"XTC Lithium Limited (XTC) is an exploration…XTC Lithium Limited (XTC) is an exploration company focused on the discovery of metals through modern exploration techniques in the gold producing region of Southern Cross, WA",87,XTC,,PERTH,
Alkane Resources,,,Nicholas Earner(Managing Director),,,,30-Jun-2025,$270.62m,$173.61m,$262.36m,$172.99m,$33.04m,$17.68m,$519.38m,$464.70m,$173.69m,$155.32m,,,,,,,,$33.32m,$16.14m,$26.01m,$32.87m,,,,,,,,,,,,,,,,,PricewaterhouseCoopers,,"Alkane Resources Ltd (ALK) is a gold exploration,…Alkane Resources Ltd (ALK) is a gold exploration, development and production company with projects and operations located in Central West NSW. The Company is the parent entity of the Alkane group. It owns and operates Tomingley Gold Operations, an open pit and underground gold mining development southwest of Dubbo.","1,365",ALK,,PERTH,
Aquirian Limited,,,,,,,30-Jun-2025,$26.06m,$23.15m,$26.01m,$23.07m,$-3.41m,$-649.00k,$34.54m,$33.38m,$21.75m,$22.12m,,,,,,,,$2.59m,$2.84m,$12.51m,$13.23m,,,,,,,,,,,,,,,,Grondal Bruining Pty Ltd,Pitcher Partners BA&A Pty Ltd,,"Aquirian Limited (AQN) is a Company engaged in…Aquirian Limited (AQN) is a Company engaged in development of technology and innovative products, provision of equipment, maintenance and repairs, onsite field services, workforce and training solutions to the mining and resources industry.",100,AQN,,PERTH,
