ID,ACN,MatchedNames
comp_140,000817023,"Hallmark Consolidated Limited,Hallmark Gold Nl,Lightning Ridge Mining N L,Sirius Corporation N L,Tennant Creek Gold Limited,Tivan Limited,Tng Limited"
comp_141,119611559,Beacon Minerals Limited
comp_142,147678779,"Anova Metals Limited,Kimberley Rare Earths Limited,Warriedar Resources Limited"
comp_143,645790281,Felix Gold Limited
comp_144,115927681,"Aura Energy Limited,Cai Resources Limited"
comp_145,008677852,"Greenx Metals Limited,Investment Company Of The West Ltd,Prairie Downs Metals Limited,Prairie Mining Limited,Property Investments Ltd"
comp_146,114553392,"Red Hill Iron Limited,Red Hill Minerals Limited"
comp_147,650477286,Aurum Resources Limited
comp_148,657300359,"Lole Mining Limited,Tolu Minerals Limited"
comp_149,009468099,"Centaurus Metals Limited,Glengarry Resources Limited,Glengarry Resources N.L."
comp_150,006788754,"Asset Backed Holdings Limited,Asset Backed Securities Limited,Ci Resources Limited,Prl Global Ltd"
comp_151,138405419,"Talga Gold Limited,Talga Group Ltd,Talga Resources Ltd"
comp_152,665307433,"Green Power Minerals Pty Ltd,Sun Silver Limited"
comp_153,003453503,"American Rare Earths Limited,Broken Hill Cobalt Limited,Broken Hill Prospecting Limited,Thackeringa Mining Company Limited"
comp_154,112546700,"Acquisitor Ltd,Peak Rare Earths Limited,Peak Resources Limited"
comp_155,685311577,Ballard Mining Limited
comp_156,007761186,"Horizon Minerals Limited,Intermin Resource Corporation Ltd.,Intermin Resources Limited,Intermin Resources Nl,Pidev Limited,Pioneer Homes Ltd.,Pioneer Homes Pty Limited"
comp_157,137984297,"Laconia Resources Limited,Laconia Resources Pty Ltd,Metalsearch Limited,Zeotech Limited"
comp_158,004213692,"Alcan Australia Limited,Australian Aluminium Company Limited,Australian Aluminium Company Proprietary Limited,British Aluminium (Australia) Proprietary Limited,Capral Aluminium Limited,Capral Limited"
comp_159,072692365,"Hill End Gold Limited,Lion Rock Minerals Ltd,Nugget Resources Australia Limited,Nugget Resources Australia Pty. Ltd.,Peak Minerals Limited,Pure Alumina Limited"
comp_160,078480136,"Austin Engineering Limited,Austin Engineering Pty Ltd,Seinson Pty Ltd"
comp_161,124279750,"Every Day Mine Services Limited,Hughes Drilling Limited,Victory Goldfields Limited,Victory Metals Limited"
comp_162,685756209,Astron Limited
comp_163,152071095,"Battery Minerals Limited,Metals Of Africa Limited,Rio Mazowe Limited,Waratah Minerals Limited"
comp_164,621122905,"Torque Metals Limited,Torque Metals Pty. Ltd."
comp_167,008101979,"Insight Mining Ltd.,Insight Mining Pty. Ltd.,Quantum Graphite Limited,Strategic Graphite Limited,Tarcoola Gold Limited,Valence Industries Limited"
comp_168,130955725,"Hot Chili Limited,Hot Chili Pty Ltd"
comp_169,109815796,"Encounter Resources Limited,Encounter Resources Pty Ltd"
comp_170,062409303,"Kanowna Lights Limited,Kanowna Lights Nl,Peninsula Energy Limited,Peninsula Minerals Limited"
comp_171,124752745,"Gbm Resources Limited,Syndicated Resources Limited"
comp_172,117330757,"Ecograf Limited,Innovance Ltd,Kagera Nickel Limited,Kibaran Nickel Limited,Kibaran Resources Limited"
comp_173,652352228,"Broken Hill Mines Limited,Coolabah Metals Limited"
comp_174,124894060,"Kgosi Mining Limited,Kgosi Pty Ltd,West Wits Mining Limited"
comp_175,635910271,Kaiser Reef Limited
comp_176,139522553,"Frontier Energy Limited,Ishine International Resources Limited,Superior Lake Resources Limited"
comp_177,135531341,"Renaissance Uranium Limited,Renaissance Uranium Pty Ltd,Renascor Resources Limited"
comp_179,117086745,"Emmerson Resources Limited,Emmerson Resources Pty Ltd"
comp_180,629672144,Locksley Resources Limited
comp_181,121969819,"Aus Asia Minerals Limited,Coal Fe Resources Limited,Viridis Mining And Minerals Limited"
comp_182,001666600,"Buddha Gold Mines N L,Elevate Uranium Ltd,Marenica Energy Ltd,Southwest Gold Mines N L,West Australian Metals Ltd,West Australian Metals Nl"
comp_183,004669658,"F. & H. Evans Holdings Ltd.,F. & H. Evans Holdings Pty. Ltd.,Rand Mining Limited,Rand Mining No Liability,Tern Minerals Limited"
comp_184,149349646,"Dempsey Minerals Limited,Galan Lithium Limited"
comp_185,102642366,"Leahy Haulage Pty Ltd,Mlg Oz Limited,Mlg Oz Pty Ltd"
comp_186,118463004,"Energy Transition Minerals Ltd,Greenland Minerals And Energy Limited,Greenland Minerals Limited,The Gold Company Ltd"
comp_187,123184412,"Avalon Minerals Ltd,Sunstone Metals Ltd"
comp_188,124354329,"Ethan Minerals Limited,Prospect Resources Limited"
comp_189,122417243,"Aspire Mining Limited,Windy Knob Resources Limited"
comp_190,127215132,"Atlantic Lithium Limited,Ironridge Resources Limited,Ridge Exploration Pty Ltd"
comp_191,674455442,Alfabs Australia Limited
comp_192,010597672,"Allied Technologies Group Limited,Cambrian Resources Limited,Cambrian Resources N.L.,Longreach Group Limited,Mayfield Group Holdings Limited,Servicepoint Limited,Stream Group Limited"
comp_193,119031864,"Dreadnought Resources Ltd,Ero Mining Limited,Eromanga Uranium Limited,Tychean Resources Ltd"
comp_194,106866442,"Bronick Limited,Mindax Limited"
comp_195,141450624,"European Lithium Limited,Paynes Find Gold Limited"
comp_196,003208393,"Geopacific Resources Ltd,Geopacific Resources N L"
comp_197,098939274,"Goldstar Resources Limited,Goldstar Resources Nl,Orion Gold Nl,Orion Minerals Ltd,Orion Minerals Nl"
comp_198,168368401,"Australian Strategic Materials Limited,Australian Zirconia Holdings Pty Ltd"
comp_199,106854175,"Continuation Investments Ltd,Granite Lic Limited,Granite Three Pillars Limited,Plukka Limited,Tesoro Gold Ltd,Tesoro Resources Limited,Van Eyk Three Pillars Limited"
comp_200,008402391,"Gateway Mining Limited,Gateway Mining Nl,Gold Platinum And Chromium Ventures Limited,Vidor Limited"
comp_201,140575604,"Alligator Energy Ltd,Titus Resources Limited"
comp_202,647899698,"Forrestania Resources Limited,Forrestania Resources Pty Ltd"
comp_203,107159713,"Boab Metals Limited,Jaguar Minerals Limited,Pacifico Minerals Limited"
comp_204,150597541,"Kin Mining N.L.,Patronus Resources Limited"
comp_205,117790897,"Minera Gold Limited,Mundo Minerals Limited,Titan Minerals Limited"
comp_206,168269752,"Trigg Minerals Limited,Trigg Mining Ltd,Trigg Mining Pty Ltd"
comp_207,099883922,"Mithril Resources Ltd,Mithril Silver And Gold Limited"
