Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
1644836D AU Equity,SMS MANAGEMENT &,AU,Common Stock,--,304.46M,130.51M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Commercial Support Services,Professional Services,Mgmt & Admin Consulting Svcs,General Management Consulting
UTMK KZ Equity,UST-KAMEN TITANI,KZ,Common Stock,--,305.23M,766.63M,2k,Industrial Metals and Mining,Nonferrous Metals,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,--,--
RUSP RM Equity,RUSPOLIMET AO,RU,Common Stock,--,309.82M,417.10M,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
LOND LN Equity,LONDON MINING PL,GB,Common Stock,--,310.35M,799.99M,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Metals & Mining,Iron,Iron Ore Mining,--
LEE SP Equity,LEE METAL GROUP,SG,Common Stock,--,320.44M,369.84M,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Metal Svc Centers & Processors,Steel Processors,--
KZOM RU Equity,KIROVSKIY ZA-BRD,RU,Common Stock,--,322.46M,103.32M,823,Industrial Metals and Mining,Nonferrous Metals,--,--,Metals & Mining,Base Metals,Copper,Copper Smelting & Refining
CMMC CN Equity,COPPER MOUNTAIN,CA,Common Stock,--,333.94M,1.19B,--,Industrial Metals and Mining,Copper,Metals & Mining,Copper,Metals & Mining,Base Metals,Copper,Copper Mining
VIS VN Equity,VIETNAM - ITALY,VN,Common Stock,--,338.20M,180.50M,710,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
RRP AU Equity,QMETCO LTD,AU,Common Stock,--,344.98M,251.51M,--,Industrial Metals and Mining,Aluminum,Metals & Mining,Steel,Metals & Mining,Mining Services,Coal Support Services,--
AFID IT Equity,AFRICA ISRAEL IN,IL,Common Stock,--,346.94M,418.24M,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Asset Management,Private Equity,Real Estate Investments,--
