depositID:ID,ENO:int,STATE:string,LOCATION:string,OPERATING_STATUS:string,GEOLOGIC_AGE:string,DEPOSIT_MODEL_ENVIRONMENT:string,DEPOSIT_MODEL_GROUP:string,DEPOSIT_MODEL_TYPE:string,PROVINCES:string,IGNEOUS:string,METALLOGENIC:string,SEDIMENTARY:string,TECTONIC:string,:LABEL
deposit_1740,334410,WA,"122.085,-30.5322",mineral deposit,,,,,Yilgarn Craton,,,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1741,334411,NSW,"150.2657,-34.4652",closed,,,,,Sydney Basin,,,Sydney Basin,"Eastern Province,Lachlan Orogen,Tasman Element",Deposit
deposit_1742,334414,WA,"119.4539,-28.1167",mineral deposit,,,,,Yilgarn Craton,,,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1743,334365,WA,"120.5412,-27.731",historic mine,Archean,,,,Yilgarn Craton,,Mount Keith Nickel Metallogenic Province,Carey Paleovalley,"West Australian Element,Yilgarn Craton",Deposit
deposit_1744,334416,QLD,"149.8844,-25.8369",mineral deposit,Mesozoic,,,,Surat Basin,,,"Bowen Basin,Surat Basin","Connors-Auburn Province,New England Orogen,Tasman Element",Deposit
deposit_1745,334417,VIC,"141.8897,-37.0695",mineral deposit,,Erosional,Placer,Heavy mineral sands,Murray Basin,,,Murray Basin,"Delamerian Orogen,Tasman Element",Deposit
deposit_1746,334423,NSW,"151.9747,-32.1161",closed,,,,,Gloucester Basin,,,Gloucester Basin,"Eastern Province,Lachlan Orogen,New England Orogen,Tamworth Province,Tasman Element",Deposit
deposit_1747,334425,WA,"120.6933,-30.5543",historic mine,Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,"Yilgarn Craton, Eastern Goldfields Province",,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1748,334426,QLD,"150.301,-23.0786",mineral deposit,,,,,,,,,"Marlborough Province,New England Orogen,Tasman Element",Deposit
deposit_1749,334429,QLD,"145.1711,-17.7021",mineral deposit,,Basin hydrothermal,Sediment-hosted,Siliciclastic-mafic zinc-lead,"Mossman Orogen, Hodgkinson Province",,,,"Hodgkinson Province,Mossman Orogen,Tasman Element",Deposit
deposit_1750,334430,NSW,"150.8386,-32.2008",mineral deposit,,,,,Sydney Basin,,,Sydney Basin,"Eastern Province,Lachlan Orogen,Tasman Element",Deposit
deposit_1751,334432,WA,"121.0775,-29.833",mineral deposit,,,,,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1752,334433,WA,"121.6786,-31.0187",mineral deposit,Archean,,,,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1753,334434,WA,"120.9706,-30.255",mineral deposit,,,,,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1754,334437,NSW,"142.226,-33.3644",closed,,Erosional,Placer,Heavy mineral sands,Murray Basin,,,"Berri Basin,Darling Basin,Murray Basin","Delamerian Orogen,Tasman Element",Deposit
deposit_1755,334438,NSW,"151.54,-32.8868",care and maintenance,,,,,Sydney Basin,,,Sydney Basin,"Eastern Province,Lachlan Orogen,Tasman Element",Deposit
deposit_1756,334439,NSW,"142.347,-33.4084",operating mine,,Erosional,Placer,Heavy mineral sands,Murray Basin,,,"Berri Basin,Darling Basin,Murray Basin","Delamerian Orogen,Tasman Element",Deposit
deposit_1757,334441,NSW,"151.1086,-32.6374",operating mine,,,,,Sydney Basin,,,Sydney Basin,"Eastern Province,Lachlan Orogen,Tasman Element",Deposit
deposit_1758,334442,WA,"120.6351,-30.0394",historic mine,Archean,,,,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1759,334444,WA,"118.8314,-32.6606",mineral deposit,,,,,Yilgarn Craton,,,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1760,334445,WA,"121.7167,-30.9106",historic mine,Archean,Magmatic,Komatiite,Komatiite nickel-copper-PGE,"Yilgarn Craton, Eastern Goldfields Province, Kambalda Nickel Metallogenic Province",,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1761,334448,WA,"122.4358,-29.3761",historic mine,Archean,,,,"Yilgarn Craton, Eastern Goldfields Province",,Windarra Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1762,334449,WA,"115.8625,-33.1874",historic mine,,,,,,,,"Mandurah Terrace,Perth Basin","Pinjarra Element,Yilgarn Craton",Deposit
deposit_1763,334450,VIC,"146.61,-38.22",mineral deposit,Cenozoic,,,,Gippsland Basin,,,"Gippsland Basin,Selwyn Province","Lachlan Orogen,Melbourne-Mathinna Zone,Tasman Element",Deposit
deposit_1764,334451,WA,"115.9489,-32.5833",mineral deposit,,Erosional,Placer,Heavy mineral sands,,,,"Mandurah Terrace,Perth Basin","Pinjarra Element,Pinjarra Orogen",Deposit
deposit_1765,334457,WA,"117.8791,-20.9775",mineral deposit,Archean,,,,Pilbara Craton,Warakurna Large Igneous Province,,,"Pilbara Craton,West Australian Element",Deposit
deposit_1766,334460,WA,"128.3839,-16.7116",closed,Mesoproterozoic,Magmatic,Kimberlite,Kimberlite diamond,"Halls Creek Orogen, Carr Boyd Basin",Kalkarindji Igneous Province,,"Carr Boyd Basin,Revolver Creek Basin","Halls Creek Orogen,Lamboo Province,North Australian Element",Deposit
deposit_1767,334461,WA,"119.3031,-27.9287",historic mine,Archean,,,,"Yilgarn Craton, Southern Cross Province",,,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1768,334464,WA,"122.233,-28.4852",care and maintenance,Archean,Magmatic,Komatiite,Komatiite nickel-copper-PGE,"Yilgarn Craton, Eastern Goldfields Province, Windarra Nickel Metallogenic Province",,Windarra Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1769,334468,WA,"117.6572,-23.241",operating mine,Archean,,,,Hamersley Basin,Warakurna Large Igneous Province,,"Fortescue Basin,Hamersley Basin","Pilbara Craton,West Australian Element",Deposit
deposit_1770,334469,WA,"117.0806,-20.8501",mineral deposit,Archean,Magmatic,Ultramafic and (or) mafic-layered intrusion,U-M layered intrusion nickel-copper-PGE,"Pilbara Craton, Andover Nickel Province",Warakurna Large Igneous Province,"Radio Hill Nickel Metallogenic Province,Ruth Well Nickel Metallogenic Province",,"Pilbara Craton,West Australian Element",Deposit
deposit_1771,334470,WA,"115.622,-28.1113",closed,Archean,,,,"Yilgarn Craton, Murchison Domain",Warakurna Large Igneous Province,,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1772,334471,TAS,"148.1921,-41.421",historic mine,,Magmatic hydrothermal,Vein,Vein tin polymetallic,Lachlan Orogen,,,,"Lachlan Orogen,Melbourne-Mathinna Zone,Tasman Element",Deposit
deposit_1773,334472,WA,"118.6764,-21.1746",operating mine,Archean,Magmatic,Pegmatite,LCT pegmatite,Pilbara Craton,Warakurna Large Igneous Province,,,"Pilbara Craton,West Australian Element",Deposit
deposit_1774,334476,NT,"130.31,-20.5372",mineral deposit,Paleoproterozoic,Metamorphic hydrothermal,Orogenic,Hypozonal orogenic gold,"Tanami Orogen, Callie, The Granites-Tanami Block",Kalkarindji Igneous Province,,,"North Australian Element,Tanami Orogen",Deposit
deposit_1775,334478,QLD,"151.2735,-28.8637",historic mine,,Magmatic hydrothermal,Epithermal,Low-sulfidation (LS) epithermal gold-silver,"New England Orogen, Woolomin Province",,,,"New England Orogen,Tasman Element,Woolomin Province",Deposit
deposit_1776,334482,NSW,"146.5807,-32.7381",historic mine,Cenozoic,Magmatic hydrothermal,Vein,Vein tin polymetallic,"Lachlan Orogen, Lachlan Orogen",,,,"Central NSW - Omeo Province,Lachlan Orogen,Tasman Element",Deposit
deposit_1777,334483,QLD,"139.17,-21.647",operating mine,,Basin chemical,Phosphorite,Phosphorite,Georgina Basin,,,,North Australian Element,Deposit
deposit_1778,334492,SA,"135.1,-27.8304",mineral deposit,,,,,Arckaringa Basin,,,"Arckaringa Basin,Eromanga Basin","Delamerian Orogen,Gawler Craton,South Australian Element",Deposit
deposit_1779,334493,WA,"121.643,-30.3907",historic mine,Archean,,,,"Yilgarn Craton, Kambalda Nickel Metallogenic Province",,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1780,334495,WA,"122.339,-27.9704",operating mine,Archean,,,,"Yilgarn Craton, Eastern Goldfields Province",,Windarra Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1781,334498,NT,"131.5493,-13.4937",mineral deposit,,,,,Pine Creek Orogen,,,,"North Australian Element,Pine Creek Orogen",Deposit
deposit_1782,334499,WA,"118.3585,-25.3219",operating mine,Archean,,,,Yilgarn Craton,Warakurna Large Igneous Province,,"Bryah Basin,Padbury Basin","West Australian Element,Yilgarn Craton",Deposit
deposit_1783,334501,QLD,"140.5488,-21.0491",mineral deposit,Proterozoic,,,,Mount Isa Orogen,,,,"Marimo-Staveley Domain,Mount Isa Orogen,North Australian Element",Deposit
deposit_1784,334504,WA,"126.0073,-18.7291",historic mine,Paleozoic,Basin hydrothermal,Mississippi Valley-type (MVT),MVT zinc-lead,Lennard Shelf,Kalkarindji Igneous Province,,Canning Basin,"Hooper Province,King Leopold Orogen,North Australian Element",Deposit
