companyNameID:ID,text:string
compname_617,AUSTRALIAN OFFSHORE SERVICES
compname_618,AUSTRALIAN ORES & MINERALS PTY LIMITED
compname_619,AUSTRALIAN PHARMACEUTICAL INDUSTRIES PTY LTD
compname_620,AUSTRALIAN SHAFT DRILLING PTY LTD
compname_621,AUSTRALIAN STEEL TRADERS PTY LTD
compname_622,AUSTRALIAN TERMINAL OPERATIONS MANAGEMENT PTY LTD
compname_623,AUSTWIDE COMMUNICATIONS PTY LTD
compname_624,AUTOMATED POOL PRODUCTS PTY LTD
compname_625,AUTORUN Australia
compname_626,AUTORUN TECHNOLOGIES
compname_627,AUTORUN TECHNOLOGIES RAYTRAC
compname_628,AUX Resources Corp
compname_629,AV Polishers
compname_630,AVC HOLDINGS PTY LTD
compname_631,AVC TRADING PTY LTD
compname_632,AVFI PTY LTD
compname_633,AVIC Heavy Machinery Co Ltd
compname_634,AVID Resources
compname_635,AVL LMM SAS
compname_636,AVP Infracon Ltd
compname_637,AVZ Minerals Ltd
compname_638,AW Contracting Corp/AZ
compname_639,AWP METAL TRADERS PTY LTD
compname_640,AWU Mining
compname_641,AWX Mining
compname_642,AXG Mining
compname_643,AXISCADES Technologies Ltd
compname_644,AYS Ventures Bhd
compname_645,AZ Diamond SPRL
compname_646,AZCO Inc
compname_647,AZN Capital Corp
compname_648,AZSA HOLDINGS PTY LIMITED
compname_649,Aachener Strassenbahn und Energieversorgungs-AG
compname_650,Aalisha Gems BVBA
compname_651,Aamori Mining Pty Ltd
compname_652,Aanchal Ispat Ltd
compname_653,Aannemersbedrijf Bramer BV
compname_654,Aannemersbedrijf Knipscheer BV
compname_655,Aannemingen Janssen NV
compname_656,Aannemingsbedrijf HJ Jurriens BV
compname_657,Aannemingsmaatschappij Van Gelder BV
compname_658,Aapico Maia SA
compname_659,Aaq Holdings Limited
compname_660,Aaral Srl
compname_661,Aardvark Tmc Ltd
compname_662,Aardvark Ventures Inc
compname_663,Aart Farah Architectes Associes SAS
compname_664,Aarti Fabrications Site
compname_665,Ab Steel Holdings Pty Limited
compname_666,Abacus Mining & Exploration Corp
compname_667,Abadiam Andre BVBA
compname_668,Abador Gold Limited
compname_669,Abador Gold N.L.
compname_670,Abantia Instalaciones SA
compname_671,Abarta Resources Limited
compname_672,Abarta Resources Ltd
compname_673,Abasca Resources Inc
compname_674,Abb Asea Brown Boveri Limited
compname_675,Abb Asea Brown Boveri Pty. Limited
compname_676,Abb Power Grids Australia Holdings Pty Ltd
compname_677,Abb Power Grids Australia Pty Limited
compname_678,Abb Vetco Gray Australia Pty Ltd
compname_679,Abbeyvale Developments Ltd
compname_680,Abbotts Exploration Pty Ltd
compname_681,Abc Building Corp
compname_682,Abc Precast Concrete Pty. Ltd.
compname_683,Abcourt Mines Inc
compname_684,Abednego Nickel Pty Ltd
compname_685,Abelle Limited
compname_686,Abelle Ltd
compname_687,Abelle Pty Ltd
compname_688,Abelle Pty. Ltd.
compname_689,Abelshore Pty. Limited
compname_690,Aben Gold Corp
compname_691,Abener Construction Services LLC
compname_692,Abener Energia SA
compname_693,Abengoa SA
compname_694,Abengoa Solar Espana SA
compname_695,Aberdeen International Inc
compname_696,Aberfoyle Ltd
compname_697,Abesque Engineering Limited
compname_698,Abet Consulting Group
compname_699,Abfara Pty Ltd
compname_700,Abha Power & Steel Ltd
compname_701,Abhidimon BVBA
compname_702,Abhishek Integrations Ltd
compname_703,Abilene Oil And Gas Limited
compname_704,Abilene Oil and Gas Ltd
compname_705,Abington Reldan Metals LLC
compname_706,Abington Resources Ltd
compname_707,Abitibi Metals Corp
compname_708,Abitibi Mining Corp
