companyID:ID,name:string,Ticker:string,ACN:int,Market Cap:float,Revenue:Y:float,Tot Assets:Y:float,Number of Employees:LF:int,Company Description:string,Linkedin_empCount:int,Linkedin_Followers:int
comp_72,Chrysos Corp Ltd,C79 AU Equity,,883830000.0,66110000.0,264310000.0,,Delivering faster safer and more accurate gold analysis Chrysos PhotonAssay is an environmentally friendly replacement for fire assay on site and in the laboratory Originally developed at Australia s national science agency CSIRO and with successful installations across Australia Chrysos is now taking PhotonAssay to customers around the world With a Product as a Service business model Chrysos leases its PhotonAssay units to mines and laboratories as a turnkey solution inclusive of deployment maintenance and technology upgrades,38,1025
comp_73,Chalice Mining Ltd,CHN AU Equity,116648956,883270000.0,118000.0,170670000.0,,"Chalice Mining Limited operates as an exploration and production company. TheCompany focuses on nickel, copper, cobalt, and gold discovery at the Julimarproject in Western Australia. Chalice Mining serves customers worldwide.",40,3810
comp_74,Boss Energy Ltd,BOE AU Equity,116834336,854740000.0,75600000.0,528220000.0,,Boss Energy Limited operates as a mineral exploration company. The Companyexplores and develops uranium and base metal projects. Boss Energy servescustomers worldwide.,,
comp_75,Bannerman Energy Ltd,BMN AU Equity,113017128,770260000.0,,107790000.0,,Bannerman Energy Limited operates as an exploration and development company.The Company explores and develops uranium deposits. Bannerman Energy servescustomers in Australia and Namibia.,,
comp_76,Metallium Ltd,MTM AU Equity,645885463,713850000.0,,18710000.0,,"Metallium Limited operates as an exploration company. The Company focuses onthe gold, niobium, rare earth elements, and other minerals exploration, as wellas metal recovery technology development. Metallium serves customers worldwide.",,
comp_77,Metal Powder Works Ltd,MPW AU Equity,158307549,696580000.0,1600000.0,12400000.0,,,,
comp_78,Civmec Australia Ltd,CVL AU Equity,,694140000.0,810590000.0,911900000.0,,"Civmec Australia Limited operates as an engineering service firm. The Companyoffers an end-to-end integrated heavy engineering, construction, andmaintenance services. Civmec Australia serves customers worldwide.",,
comp_79,Santana Minerals Ltd,SMI AU Equity,161946989,685860000.0,,69780000.0,,"Santana Minerals Limited focuses on the exploration of gold and silver. TheCompany explores for, develops and retails precious metals mined throughoutMexico.",,
comp_80,29Metals Ltd,29M AU Equity,650096094,644530000.0,551060000.0,1040000000.0,,29Metals Limited provides exploration and mining services. The Company exploresand develops base and precious metals assets. 29Metals serves customersworldwide.,114,4096
comp_81,GR Engineering Services Ltd,GNG AU Equity,121542738,626200000.0,479020000.0,192510000.0,,"GR Engineering Services Ltd is an engineering consulting and contractingcompany. The Company specializes in providing process engineering design andconstruction services to the mining and minerals processing industries. GR'sservices cover all aspects of the project life cycle from the initial evaluationand study phase through to design, construction, commissioning and support.",246,4937
comp_82,Metals X Ltd,MLX AU Equity,110150055,616040000.0,218820000.0,505030000.0,,"Metals X Limited operates as a diversified resource company. The Companymines, develops, and explores copper, nickel, cobalt, and other metals. Metals Xserves customers in Australia.",87,3691
comp_83,Meeka Metals Ltd,MEK AU Equity,80939135,598860000.0,,35450000.0,,"Meeka Metals Limited provides exploration and mining services. The Companyexplores and develops gold, rare earths, and other mineral projects in WesternAustralia. Meeka Metals serves customers worldwide.",,
comp_84,Lotus Resources Ltd,LOT AU Equity,119992175,597070000.0,21160.0,168820000.0,,Lotus Resources Limited provides mining services. The Company develops andexplores mineral properties such as uranium project. Lotus Resources servescustomers in Australia.,6,286
comp_85,St Barbara Ltd,SBM AU Equity,9165066,563530000.0,215520000.0,580260000.0,,St. Barbara Limited is a gold exploration and production company.  The Company'sexploration projects include its Southern Cross and Leonora Operations whichare located in Western Australia.,554,17336
comp_86,Sayona Mining Ltd,SYA AU Equity,,560890000.0,223360000.0,652710000.0,,Sayona Mining Limited ASX SYA OTC SYAXF is focused on sourcing and developing the raw materials required to construct lithium ion batteries for use in the rapidly growing new and green technology sectors The Company s primary focus is the development of its Abitibi lithium hub in Quebec Canada centred on its North American Lithium mine and the Authier and emerging Tansim Lithium Projects Sayona also holds gold and lithium exploration assets in the world class Pilgangoora district of Western Australia,6,1546
comp_87,Wagners Holding Co Ltd,WGN AU Equity,,559230000.0,431270000.0,417560000.0,,"Wagners Holding Company Ltd operates as a holding company. The Company, throughits subsidiaries, provides infrastructure construction services. WagnersHolding constructs roads and tunnels, bridges, airports, mining and gas plants,dams, and other infrastructure projects. Wagners Holding also offersconstruction materials and mining services in Australia and worldwide.",309,8430
comp_88,Metro Mining Ltd,MMI AU Equity,117763443,555290000.0,307340000.0,243210000.0,,Metro Mining Ltd focuses on the exploration and mining of aluminum and bauxitein tropical environments.,16,0
comp_89,WIA Gold Ltd,WIA AU Equity,141940230,530750000.0,,72390000.0,,"WIA Gold Limited operates as a gold development and exploration company. TheCompany explores and develops gold projects, as well as offers prospective landpackages. WIA Gold serves customers in Namibia, Cote d'Ivoire, and Australia.",,
comp_90,Arafura Rare Earths Ltd,ARU AU Equity,80933455,524290000.0,,155850000.0,,"Arafura Rare Earths Ltd is a mineral exploration and development companyoperating solely in the Northern Territory of Australia. Principal commoditiesinclude rare earths, phosphate, gold, nickel, and vanadium. Arafura Rare Earthsserves customers worldwide.",30,1325
comp_91,Duratec Ltd,DUR AU Equity,141614075,522610000.0,573030000.0,251370000.0,,"Duratec Limited provides construction services. The Company specializes inthe protection and re-mediation of steel and concrete structures, as well asoffers asset protection, building refurbishment, infrastructure upgrading,recladding, and durability engineering services. Duratec serves customersworldwide.",,
comp_92,Sunrise Energy Metals Ltd,SRL AU Equity,127457916,520130000.0,184000.0,11540000.0,,"Sunrise Energy Metals Limited owns and operates the battery materialsproject. The Company mines and commercializes nickel and cobalt, as wellas scandium deposit, a metal used as an alloy in aerospace, automotive, anddefense applications. Sunrise Energy Metals serves customers worldwide.",,
comp_93,Canyon Resources Ltd,CAY AU Equity,140087261,490810000.0,,44540000.0,,Canyon Resources Limited is an African focussed mineral exploration company. TheCompany has interests in the Birsok Bauxite Project in Cameroon and several goldprojects in Burkina Faso.,,
comp_94,Turaco Gold Ltd,TCG AU Equity,128042606,488700000.0,,69350000.0,,Turaco Gold Limited provides exploration and mining services. The Companyexplores and develops gold projects. Turaco Gold serves customers worldwide.,0,156
comp_95,Jupiter Mines Ltd,JMS AU Equity,105991740,481380000.0,9430000.0,593380000.0,,Jupiter Mines Limited operates as a mining company. The Company mines andproduces manganese and other base metals. Jupiter Mines servescustomers in Australia.,0,234
comp_96,Lycopodium Ltd,LYL AU Equity,98556159,478470000.0,333940000.0,241080000.0,,"Lycopodium Limited is an engineering consulting firm. The Company, through itssubsidiaries, provides consulting engineering services to both themining and manufacturing industries as well as provides specialist services tothe minerals resource industry. Lycopodium serves customers worldwide.",566,23875
comp_97,Minerals 260 Ltd,MI6 AU Equity,650766911,451640000.0,,12050000.0,,Minerals 260 Limited operates as a mining company. The Company focuses onmining of precious and base metals. Minerals 260 serves customers in Australia.,,
comp_98,Sovereign Metals Ltd,SVM AU Equity,120833427,439920000.0,,38680000.0,,Sovereign Metals Limited operates as a mining company. The Company focuses onthe exploration and development of rutile and other mineral properties.Sovereign Metals serves customers in Australia.,26,226
comp_99,Mount Gibson Iron Ltd,MGX AU Equity,8670817,436760000.0,350420000.0,582670000.0,373,Mount Gibson Iron Limited is an iron ore exploration and production company.The Company holds mining leases covering hematite and magnetite deposits atMount Gibson in Western Australia.,233,5130
comp_100,Antipa Minerals Ltd,AZY AU Equity,,428530000.0,597860.0,81050000.0,,Antipa Minerals Ltd. provides mining services. The Company owns gold and copperprojects in Western Australia.,16,1013
comp_101,Ausgold Ltd,AUC AU Equity,140164496,413390000.0,,103830000.0,,"Ausgold Limited is a mineral exploration and development company. The Companyexplores, mines, and extracts gold deposits. Ausgold operates in Australia.",16,844
comp_102,Lindian Resources Ltd,LIN AU Equity,90772222,409780000.0,,79130000.0,,"Lindian Resources Limited provides exploration and mining services. The Companyexplores and develops rare earths and bauxite assets critical to EVs and arange of other industries including electronic infrastructure, solar panels,rechargeable batteries, wind turbines, medical imaging, and manufacturing.",4,441
comp_103,Aurelia Metals Ltd,AMI AU Equity,108476384,406220000.0,343470000.0,547530000.0,,"Aurelia Metals Ltd. is a mineral exploration and development company.  TheCompany mines for gold, copper, lead, zinc, silver and tin.",141,3753
comp_104,Symal Group Ltd,SYL AU Equity,615255466,401470000.0,879600000.0,362370000.0,,"Symal Group Limited operates as a construction services. The Company offersconstruction contracting and engineering services, specializing in the roads,rail, defence, justice, ports, and energy sectors. Symal Group serves customersin Australia.",,
comp_105,Magnetic Resources NL,MAU AU Equity,121370232,395660000.0,502970.0,9740000.0,,"Magnetic Resources NL explores for gold, nickel and uranium in WesternAustralia.",0,5
comp_106,Aeris Resources Ltd,AIS AU Equity,147131977,369140000.0,577060000.0,608650000.0,,"Aeris Resources Limited is a mining and exploration company. The Companyexplores, develops, mines, and produces copper. Aeris Resources conducts itsbusiness operations in Australia.",311,11482
comp_107,Larvotto Resources Ltd,LRV AU Equity,645596238,364030000.0,,44410000.0,,Larvotto Resources Limited provides exploration and mining services. The Companyexplores and develops copper and gold projects. Larvotto Resources servescustomers worldwide.,,
comp_108,Fenix Resources Ltd,FEX AU Equity,125323622,361070000.0,316090000.0,364470000.0,,"Fenix Resources Ltd operates as a resource exploration company. The Companyexplores for iron ore, vanadium, and manganese. Fenix Resources develops itsprojects in Australia.",2,135
