:START_ID,:END_ID,type:string
compname_14934,comp_176,Synonym
compname_27547,comp_176,Synonym
compname_24014,comp_177,Current Name
compname_24012,comp_177,Synonym
compname_24010,comp_177,Synonym
compname_24011,comp_177,Synonym
compname_24013,comp_177,Synonym
compname_16223,comp_178,Current Name
compname_9636,comp_179,Current Name
compname_9635,comp_179,Synonym
compname_9637,comp_179,Synonym
compname_17052,comp_180,Current Name
compname_17051,comp_180,Synonym
compname_30262,comp_181,Current Name
compname_2864,comp_181,Synonym
compname_6861,comp_181,Synonym
compname_30261,comp_181,Synonym
compname_9533,comp_182,Current Name
compname_4987,comp_182,Synonym
compname_17983,comp_182,Synonym
compname_26851,comp_182,Synonym
compname_30819,comp_182,Synonym
compname_30820,comp_182,Synonym
compname_23684,comp_183,Current Name
compname_23683,comp_183,Synonym
compname_10358,comp_183,Synonym
compname_10359,comp_183,Synonym
compname_23685,comp_183,Synonym
compname_28382,comp_183,Synonym
compname_11547,comp_184,Current Name
compname_8435,comp_184,Synonym
compname_11546,comp_184,Synonym
compname_17492,comp_185,Current Name
compname_16688,comp_185,Synonym
compname_19180,comp_185,Synonym
compname_19181,comp_185,Synonym
compname_9756,comp_186,Current Name
compname_12635,comp_186,Synonym
compname_12636,comp_186,Synonym
compname_28538,comp_186,Synonym
compname_27524,comp_187,Current Name
compname_3298,comp_187,Synonym
compname_22960,comp_188,Current Name
compname_10066,comp_188,Synonym
compname_22959,comp_188,Synonym
compname_2558,comp_189,Current Name
compname_2557,comp_189,Synonym
compname_31126,comp_189,Synonym
compname_2672,comp_190,Current Name
compname_2671,comp_190,Synonym
compname_14913,comp_190,Synonym
compname_24223,comp_190,Synonym
compname_1304,comp_191,Current Name
compname_1303,comp_191,Synonym
compname_18177,comp_192,Current Name
compname_1448,comp_192,Synonym
compname_5698,comp_192,Synonym
compname_5699,comp_192,Synonym
compname_17100,comp_192,Synonym
compname_18176,comp_192,Synonym
compname_25659,comp_192,Synonym
compname_27343,comp_192,Synonym
compname_8847,comp_193,Current Name
compname_8846,comp_193,Synonym
compname_9994,comp_193,Synonym
compname_9998,comp_193,Synonym
compname_29400,comp_193,Synonym
compname_18800,comp_194,Current Name
compname_18799,comp_194,Synonym
compname_4934,comp_194,Synonym
compname_10153,comp_195,Current Name
compname_10152,comp_195,Synonym
compname_21981,comp_195,Synonym
compname_11874,comp_196,Current Name
compname_11875,comp_196,Synonym
compname_21271,comp_197,Current Name
compname_12388,comp_197,Synonym
compname_12389,comp_197,Synonym
compname_21267,comp_197,Synonym
compname_21272,comp_197,Synonym
compname_3204,comp_198,Current Name
compname_3203,comp_198,Synonym
compname_3227,comp_198,Synonym
compname_28445,comp_199,Current Name
compname_7380,comp_199,Synonym
compname_12502,comp_199,Synonym
compname_12503,comp_199,Synonym
compname_22470,comp_199,Synonym
compname_28448,comp_199,Synonym
compname_29943,comp_199,Synonym
compname_11681,comp_200,Current Name
compname_11680,comp_200,Synonym
compname_11682,comp_200,Synonym
compname_12223,comp_200,Synonym
compname_30177,comp_200,Synonym
compname_1451,comp_201,Current Name
compname_28793,comp_201,Synonym
compname_11032,comp_202,Current Name
compname_11031,comp_202,Synonym
compname_11033,comp_202,Synonym
compname_4584,comp_203,Current Name
compname_4583,comp_203,Synonym
compname_15198,comp_203,Synonym
compname_21712,comp_203,Synonym
compname_15197,comp_203,Synonym
compname_21958,comp_204,Current Name
compname_21956,comp_204,Synonym
compname_15992,comp_204,Synonym
compname_21957,comp_204,Synonym
compname_28781,comp_205,Current Name
compname_18880,comp_205,Synonym
compname_19556,comp_205,Synonym
compname_28780,comp_205,Synonym
compname_29191,comp_206,Current Name
compname_29190,comp_206,Synonym
compname_29193,comp_206,Synonym
compname_29194,comp_206,Synonym
compname_19146,comp_207,Current Name
compname_19144,comp_207,Synonym
compname_19145,comp_207,Synonym
compname_19935,comp_208,Current Name
compname_19934,comp_208,Synonym
compname_8408,comp_209,Current Name
compname_1472,comp_209,Synonym
compname_8407,comp_209,Synonym
compname_18873,comp_209,Synonym
compname_23835,comp_209,Synonym
compname_28803,comp_209,Synonym
compname_16046,comp_210,Current Name
compname_8262,comp_210,Synonym
compname_8888,comp_210,Synonym
compname_14869,comp_210,Synonym
compname_16045,comp_210,Synonym
compname_20243,comp_210,Synonym
compname_20772,comp_210,Synonym
compname_27709,comp_210,Synonym
compname_16003,comp_211,Current Name
compname_17950,comp_212,Current Name
compname_17948,comp_212,Synonym
compname_17949,comp_212,Synonym
compname_2453,comp_213,Current Name
compname_1241,comp_213,Synonym
compname_2452,comp_213,Synonym
compname_12319,comp_213,Synonym
compname_4473,comp_214,Current Name
compname_4472,comp_214,Synonym
compname_7934,comp_215,Current Name
compname_7719,comp_215,Synonym
compname_7932,comp_215,Synonym
compname_7933,comp_215,Synonym
compname_8132,comp_215,Synonym
compname_23129,comp_216,Current Name
compname_9218,comp_216,Synonym
compname_23042,comp_216,Synonym
compname_23187,comp_216,Synonym
compname_23299,comp_216,Synonym
compname_29706,comp_216,Synonym
compname_1992,comp_217,Current Name
compname_1991,comp_217,Synonym
compname_18168,comp_217,Synonym
compname_18169,comp_217,Synonym
compname_18170,comp_217,Synonym
compname_15607,comp_218,Current Name
compname_15606,comp_218,Synonym
compname_9147,comp_219,Current Name
compname_9145,comp_219,Synonym
compname_1847,comp_219,Synonym
compname_5872,comp_219,Synonym
compname_14200,comp_219,Synonym
compname_14201,comp_219,Synonym
compname_26900,comp_219,Synonym
compname_14199,comp_219,Synonym
compname_2283,comp_220,Current Name
compname_2282,comp_220,Synonym
compname_22229,comp_221,Current Name
compname_28420,comp_222,Current Name
compname_28419,comp_222,Synonym
compname_22455,comp_222,Synonym
compname_28418,comp_222,Synonym
