:START_ID,:END_ID,:TYPE,ROLE:string
deposit_0308,commodity_0037,HAS,Secondary
deposit_0308,commodity_0040,HAS,Primary
deposit_0309,commodity_0015,HAS,Primary
deposit_0310,commodity_0010,HAS,Primary
deposit_0310,commodity_0026,HAS,Primary
deposit_0311,commodity_0001,HAS,Primary
deposit_0311,commodity_0010,HAS,Primary
deposit_0311,commodity_0026,HAS,Primary
deposit_0311,commodity_0093,HAS,Primary
deposit_0311,commodity_0137,HAS,Primary
deposit_0312,commodity_0001,HAS,Secondary
deposit_0312,commodity_0010,HAS,Primary
deposit_0312,commodity_0012,HAS,Secondary
deposit_0312,commodity_0026,HAS,Primary
deposit_0312,commodity_0137,HAS,Primary
deposit_0313,commodity_0001,HAS,Primary
deposit_0313,commodity_0010,HAS,Primary
deposit_0314,commodity_0001,HAS,Primary
deposit_0314,commodity_0008,HAS,Secondary
deposit_0314,commodity_0010,HAS,Secondary
deposit_0314,commodity_0013,HAS,Primary
deposit_0314,commodity_0093,HAS,Primary
